origin,Jobs,%_accesible
481130001001,29128,5.478287527341597
481130001002,78027,14.675032302110779
481130001003,146637,27.578949744122145
481130002011,171186,32.19603572698087
481130002012,170648,32.09485065798506
481130002013,170572,32.080556856416884
481130002021,236803,44.537040694076914
481130002022,172015,32.35195100987589
481130002023,235577,44.306459105621784
481130003001,188496,35.451637110470394
481130003002,188842,35.5167115228729
481130003003,228079,42.89626273511893
481130004011,321538,60.473689060916044
481130004012,312707,58.81278693396076
481130004013,313733,59.00575325513119
481130004041,251276,47.25906951113318
481130004042,323606,60.862630924639696
481130004043,312013,58.6822619564829
481130004044,312658,58.80357119347601
481130004051,312754,58.82162652177265
481130004052,312658,58.80357119347601
481130004061,239684,45.078888619312806
481130004062,238259,44.810879839909425
481130004063,107648,20.246041463309126
481130004064,238259,44.810879839909425
481130004065,248355,46.70969853244035
481130005001,312754,58.82162652177265
481130005002,312754,58.82162652177265
481130005003,313409,58.944816522130004
481130005004,312754,58.82162652177265
481130006011,245965,46.260196088388355
481130006012,246038,46.27392566094726
481130006013,250695,47.14979715967117
481130006014,246340,46.33072471454714
481130006015,312464,58.767084384209866
481130006031,255472,48.048237818765884
481130006032,254779,47.91790091762444
481130006033,312464,58.767084384209866
481130006034,255493,48.05218742183077
481130006051,312754,58.82162652177265
481130006052,311973,58.67473890302596
481130006061,255493,48.05218742183077
481130006062,311715,58.626215208228714
481130006063,312029,58.68527117786567
481130007011,255493,48.05218742183077
481130007012,335410,63.08268399978183
481130007021,228703,43.01362236904715
481130007022,228447,42.96547482692275
481130007023,228703,43.01362236904715
481130008001,228279,42.93387800240362
481130008002,288270,54.21676550078146
481130008003,241664,45.45127976543119
481130008004,289733,54.49192118096893
481130008005,242843,45.67302176607441
481130009001,228072,42.89494620076397
481130009002,228295,42.93688722378639
481130009003,241184,45.361003123947945
481130009004,241883,45.49246848310792
481130010011,241769,45.471027780755655
481130010012,183847,34.57727022243788
481130010021,228295,42.93688722378639
481130010022,241617,45.44244017761929
481130011011,243163,45.733206193729906
481130011012,236803,44.537040694076914
481130011013,237193,44.610390465282045
481130011021,170985,32.15823238335976
481130011022,221899,41.73395097602215
481130011023,223130,41.96547294615939
481130012021,99977,18.803307886605015
481130012022,222816,41.90641697652243
481130012023,221590,41.675835388067306
481130012031,222816,41.90641697652243
481130012032,222816,41.90641697652243
481130012041,222769,41.89757738871053
481130012042,222769,41.89757738871053
481130013011,211481,39.774571703162884
481130013012,211160,39.714199199170956
481130013013,212707,40.005153291618
481130013021,212707,40.005153291618
481130013022,244286,45.94441591953342
481130013023,211466,39.77175055811653
481130014001,244103,45.90999794996794
481130014002,244686,46.01964645410279
481130014003,236581,44.49528774739091
481130014004,236261,44.43510331973541
481130015021,223777,42.08715833582534
481130015022,229050,43.07888485778608
481130015023,224069,42.142076626060984
481130015024,229268,43.11988549912639
481130015031,243053,45.71251779672333
481130015032,243053,45.71251779672333
481130015033,243163,45.733206193729906
481130015041,243157,45.73207773571137
481130015042,243163,45.733206193729906
481130015043,244686,46.01964645410279
481130015044,244520,45.988425782256506
481130016001,335940,63.18236445808625
481130016002,335940,63.18236445808625
481130017011,368861,69.37402552948191
481130017031,313280,58.920554674731385
481130017032,343625,64.62773110350028
481130017033,313323,58.92864195719759
481130017041,345628,65.00444800535642
481130017042,353766,66.53501323117027
481130018001,312415,58.75786864372512
481130018002,343385,64.58259278275867
481130019001,353651,66.51338445248157
481130019002,325111,61.14568581095695
481130020001,204540,38.46913385204787
481130020002,272149,51.18478688129938
481130020003,308336,57.990705267453954
481130020004,244385,45.963035476839345
481130020005,271859,51.13024474373658
481130021001,339085,63.77386453613793
481130021002,365350,68.71368951229925
481130022001,276696,52.03996998301671
481130022002,225547,42.42005345129481
481130024001,217929,40.98728792042114
481130024002,223329,42.00290013710765
481130024003,222925,41.92691729719258
481130025001,112339,21.128307557471427
481130025002,112067,21.077150793964254
481130025003,217661,40.93688346225966
481130025004,234668,44.135497715812896
481130027011,109400,20.575551204722974
481130027012,104858,19.721308484687768
481130027013,109997,20.687832777567756
481130027014,154878,29.128886832587607
481130027021,203744,38.319425088254825
481130027022,103669,19.49768572068031
481130031011,325041,61.13252046740732
481130031012,327645,61.62227124745392
481130034001,212293,39.9272896883387
481130034002,212294,39.92747776467513
481130037001,199981,37.61169383429346
481130037002,212280,39.9248446959652
481130037003,180869,34.017178892568914
481130037004,201504,37.89813409466634
481130038001,201508,37.89888640001204
481130038002,197736,37.18946245902287
481130038003,201508,37.89888640001204
481130039011,109252,20.547715906932307
481130039012,180888,34.02075234296096
481130039021,180869,34.017178892568914
481130039022,197718,37.186077084967245
481130040001,196791,37.01173032110273
481130040002,93527,17.590215516673908
481130041001,204157,38.3971006151977
481130041002,164500,30.938557341653834
481130042011,234554,44.114057013460624
481130042012,192463,36.197735937062134
481130042013,245084,46.09450083599931
481130042014,245084,46.09450083599931
481130042015,244635,46.01005456094519
481130042021,242727,45.6512049110493
481130042022,205001,38.55583704313907
481130042023,204862,38.52969443237621
481130043001,247843,46.613403448191555
