Aland	Awater	Blkgrpce	Countyfp	Funcstat	Geoid	Geometry	Intptlat	Intptlon	Mtfcc	Namelsad	Number of Records	Statefp	Tractce
546063	0	5	113	S	4.8113E+11	POLYGON	32.7841346	-96.6416128	G5030	Block Group 5	1	48	17805
663581	0	4	113	S	4.8113E+11	POLYGON	32.7049329	-96.6525356	G5030	Block Group 4	1	48	11701
275135	0	2	113	S	4.8113E+11	POLYGON	32.933075	-96.8922688	G5030	Block Group 2	1	48	13901
220708	0	1	113	S	4.8113E+11	POLYGON	32.8553471	-97.017633	G5030	Block Group 1	1	48	14116
264496	0	3	113	S	4.8113E+11	POLYGON	32.7946229	-96.9740801	G5030	Block Group 3	1	48	15204
505283	0	4	113	S	4.8113E+11	POLYGON	32.8981018	-96.6426926	G5030	Block Group 4	1	48	18700
276069	0	3	113	S	4.8113E+11	POLYGON	32.9380735	-96.8526525	G5030	Block Group 3	1	48	13805
585736	0	1	113	S	4.8113E+11	POLYGON	32.8297631	-96.7723315	G5030	Block Group 1	1	48	300
462538	0	2	113	S	4.8113E+11	POLYGON	32.732045	-96.8741145	G5030	Block Group 2	1	48	6402
17623110	3690713	1	113	S	4.8113E+11	POLYGON	32.6016896	-96.9814312	G5030	Block Group 1	1	48	16522
291168	0	2	113	S	4.8113E+11	POLYGON	32.935544	-96.8496697	G5030	Block Group 2	1	48	13805
16288352	97413	3	113	S	4.8113E+11	POLYGON	32.6855277	-96.7107028	G5030	Block Group 3	1	48	20200
9347602	145042	1	113	S	4.8113E+11	POLYGON	32.8330215	-96.9037936	G5030	Block Group 1	1	48	20100
797776	0	2	113	S	4.8113E+11	POLYGON	32.8115413	-96.9435027	G5030	Block Group 2	1	48	14902
507877	0	3	113	S	4.8113E+11	POLYGON	32.848119	-96.8084948	G5030	Block Group 3	1	48	19502
272041	0	2	113	S	4.8113E+11	POLYGON	32.8669645	-96.7998003	G5030	Block Group 2	1	48	7700
816622	0	4	113	S	4.8113E+11	POLYGON	32.7532506	-96.6870684	G5030	Block Group 4	1	48	9101
282676	0	2	113	S	4.8113E+11	POLYGON	32.9114294	-96.860051	G5030	Block Group 2	1	48	9605
649590	0	3	113	S	4.8113E+11	POLYGON	32.8406631	-96.9470114	G5030	Block Group 3	1	48	14203
1066410	0	4	113	S	4.8113E+11	POLYGON	32.8175579	-96.6478277	G5030	Block Group 4	1	48	17900
638059	0	1	113	S	4.8113E+11	POLYGON	32.8187599	-96.9295808	G5030	Block Group 1	1	48	14703
107479	0	3	113	S	4.8113E+11	POLYGON	32.7987412	-96.796425	G5030	Block Group 3	1	48	1703
178658	0	2	113	S	4.8113E+11	POLYGON	32.7916484	-96.8018075	G5030	Block Group 2	1	48	1704
678423	0	2	113	S	4.8113E+11	POLYGON	32.9568238	-96.6956035	G5030	Block Group 2	1	48	19023
992531	0	2	113	S	4.8113E+11	POLYGON	32.5831326	-96.853503	G5030	Block Group 2	1	48	16611
2570665	268	4	113	S	4.8113E+11	POLYGON	32.5814884	-96.8785153	G5030	Block Group 4	1	48	16612
875924	0	5	113	S	4.8113E+11	POLYGON	32.5861943	-96.8683024	G5030	Block Group 5	1	48	16612
1713203	6257	6	113	S	4.8113E+11	POLYGON	32.5798844	-96.8641267	G5030	Block Group 6	1	48	16612
7775443	12538	1	113	S	4.8113E+11	POLYGON	32.5730553	-96.8883455	G5030	Block Group 1	1	48	16623
7009772	8124	2	113	S	4.8113E+11	POLYGON	32.556376	-96.8808701	G5030	Block Group 2	1	48	16623
1928832	0	3	113	S	4.8113E+11	POLYGON	32.5828141	-96.9472423	G5030	Block Group 3	1	48	16626
920459	0	1	113	S	4.8113E+11	POLYGON	32.6139974	-96.867221	G5030	Block Group 1	1	48	16617
2576517	2209	3	113	S	4.8113E+11	POLYGON	32.6119204	-96.9001224	G5030	Block Group 3	1	48	16617
643800	0	1	113	S	4.8113E+11	POLYGON	32.613607	-96.8597757	G5030	Block Group 1	1	48	16618
1055085	0	2	113	S	4.8113E+11	POLYGON	32.6079017	-96.8681802	G5030	Block Group 2	1	48	16618
2589643	0	3	113	S	4.8113E+11	POLYGON	32.5970263	-96.8655704	G5030	Block Group 3	1	48	16618
1688676	3182	1	113	S	4.8113E+11	POLYGON	32.6101703	-96.8487484	G5030	Block Group 1	1	48	16619
2266650	3697	2	113	S	4.8113E+11	POLYGON	32.5981049	-96.8434636	G5030	Block Group 2	1	48	16620
686797	0	2	113	S	4.8113E+11	POLYGON	32.6377398	-96.9155519	G5030	Block Group 2	1	48	16509
2013478	0	3	113	S	4.8113E+11	POLYGON	32.5961051	-96.8293731	G5030	Block Group 3	1	48	16620
4009892	0	1	113	S	4.8113E+11	POLYGON	32.6552176	-96.7810285	G5030	Block Group 1	1	48	16701
442308	0	2	113	S	4.8113E+11	POLYGON	32.6605499	-96.7706132	G5030	Block Group 2	1	48	16701
17933520	28641	1	113	S	4.8113E+11	POLYGON	32.6307597	-96.7490227	G5030	Block Group 1	1	48	16703
734039	0	4	113	S	4.8113E+11	POLYGON	32.629857	-96.9154561	G5030	Block Group 4	1	48	16509
1046720	0	4	113	S	4.8113E+11	POLYGON	32.6372662	-96.9480791	G5030	Block Group 4	1	48	16510
785097	0	1	113	S	4.8113E+11	POLYGON	32.6296023	-96.9496495	G5030	Block Group 1	1	48	16511
1965041	0	2	113	S	4.8113E+11	POLYGON	32.637635	-96.9327908	G5030	Block Group 2	1	48	16513
1932471	0	3	113	S	4.8113E+11	POLYGON	32.626121	-96.9367163	G5030	Block Group 3	1	48	16513
2668642	4012	1	113	S	4.8113E+11	POLYGON	32.6124325	-96.9302687	G5030	Block Group 1	1	48	16514
2041954	3973	1	113	S	4.8113E+11	POLYGON	32.6052643	-96.7933383	G5030	Block Group 1	1	48	16705
1012905	0	3	113	S	4.8113E+11	POLYGON	32.6076276	-96.7687699	G5030	Block Group 3	1	48	16705
24678207	104860	2	113	S	4.8113E+11	POLYGON	32.5670076	-96.7687953	G5030	Block Group 2	1	48	16802
