,SCHOOLNAME,Latitude,Longitude,FULLNAME,ZIP
0,CityLab High School,32.7717825241,-96.7704874254,CItyLab High School,75201
1,Burleson Elementary School,32.7187234035,-96.7131728867,Rufus C. Burleson Elementary School,75217
2,Douglass Elementary School,32.7156069993,-96.6975001387,Frederick Douglass Elementary School,75217
3,Bayles Elementary School,32.8010691042,-96.706053376,Bayles Elementary School,75228
4,Franklin Middle School,32.8855395655,-96.7845441689,Benjamin Franklin Middle School,75230
5,Conner Elementary School,32.8082429297,-96.6947509794,S.S. Conner Elementary School,75228
6,Seagoville Middle School,32.6819109823,-96.58334471,Seagoville Middle School,75253
7,Truett Elementary School,32.8164291217,-96.6834910235,George W. Truett Elementary School,75228
8,Titche Elementary School,32.7547624541,-96.6585570295,Edward Titche Elementary School,75227
9,Dunbar Learning Center,32.7748272658,-96.7492012123,Paul L. Dunbar Learning Center,75210
10,Guzick Elementary School,32.7847256406,-96.6927353866,Frank Guzick Elementary School,75227
11,King Jr. Learning Center,32.7610057072,-96.773497162,Martin Luther King Jr. Learning Center,75215
12,Rhoads Learning Center,32.763420899,-96.7487277347,Joseph J. Rhoads Learning Center,75210
13,Kennedy-Curry Middle School,32.6609563779,-96.7578665583,Kennedy-Curry Middle School,75241
14,Rice Learning Center,32.7564893659,-96.7621251032,Charles Rice Learning Center,75215
15,Dade Learning Center,32.7717825241,-96.7704874254,Billy Earl Dade Learning Center,75215
16,Rowe Elementary School,32.7854367888,-96.7067361767,Edna Rowe Elementary School,75227
17,Lang Sr. Middle School,32.8017630859,-96.6867980273,Harold W. Lang Sr. Middle School,75228
18,Silberstein Elementary School,32.7672047123,-96.7205282452,Ascher Silberstein Elementary School,75227
19,Richards Middle School,32.770022087,-96.6662960429,Ann Richards Middle School,75227
20,Tatum Jr. Elementary School,32.7633730004,-96.6555363313,C.A. Tatum Jr. Elementary School,75227
21,Long Middle School,32.8069438604,-96.7502968134,J.L. Long Middle School,75214
22,Callejo Elementary School,32.7713975373,-96.6866686066,Adelfa Botello Cajello Elementary School,75227
23,Rusk Middle School,32.8267180763,-96.8348718328,Thomas J. Rusk Middle School,75235
24,Jackson Elementary School,32.8356231275,-96.7673403467,Stonewall Jackson Elementary School,75206
25,Edison Middle Learning Center,32.77797317,-96.8684342258,Thomas A. Edison Middle Learning Center,75212
26,R.E. Lee Elementary School,32.8241613814,-96.7663654548,Robert E. Lee Elementary School,75206
27,Medrano Middle School,32.8713841039,-96.8757608008,Francisco Medrano Middle School,75220
28,Lipscomb Elementary School,32.8071617269,-96.7570223092,William Lipscomb Elementary School,75214
29,Garcia Middle School,32.7498559088,-96.8138859057,Hector Garcia Middle School,75203
30,Milam Elementary School,32.8163761399,-96.79015005,Ben Milam Elementary School,75205
31,Quintanilla Sr. Middle School,32.7619699922,-96.8656663639,Raul Quintanilla Sr. Middle School,75211
32,Rogers Elementary School,32.8520525583,-96.7516971646,Dan D. Rogers Elementary School,75214
33,Stockard Middle School,32.7228003805,-96.8673084867,L.V. Stockard Middle School,75211
34,Ray Learning Center,32.8015229259,-96.7893276834,J.W. Ray Learning Center,75204
35,Chavez Learning Center,32.8037241573,-96.7805643946,Cesar Chavez Learning Center,75204
36,Gaston Middle School,32.8247687129,-96.6940855694,W.H. Gaston Middle School,75228
37,Foster Elementary School,32.8699698341,-96.8537651574,Stephen C. Foster Elementary School,75220
38,Hill Middle School,32.8554461204,-96.7041449281,Robert T. Hill Middle School,75218
39,Hernandez Elementary School,32.8196698572,-96.8364166611,Onesimo Hernandez Elementary School,75235
40,Zumwalt Middle School,32.6913104804,-96.7825493869,Sarah Zumwalt Middle School,75216
