,origin,Jobs,
1,4.81E+11,9999.5,0.011067454
2,4.81E+11,17438,0.019302527
3,4.81E+11,32171,0.035617701
4,4.81E+11,102942,0.114011496
5,4.81E+11,32253,0.035761983
6,4.81E+11,33525,0.037185669
7,4.81E+11,52306,0.05803899
8,4.81E+11,29660,0.032929991
9,4.81E+11,29574,0.032845326
10,4.81E+11,7965,0.008848954
11,4.81E+11,11866,0.013184053
12,4.81E+11,7521.5,0.008358076
13,4.81E+11,12932,0.014371558
14,4.81E+11,1904.5,0.002116808
15,4.81E+11,2803.5,0.003116093
16,4.81E+11,3692.5,0.004104345
17,4.81E+11,1253.5,0.001393367
18,4.81E+11,12172,0.013530353
19,4.81E+11,8767,0.009746686
20,4.81E+11,1657,0.001842344
21,4.81E+11,17043,0.0189497
22,4.81E+11,8050.5,0.008952853
23,4.81E+11,4632,0.005151646
24,4.81E+11,16943.5,0.018845297
25,4.81E+11,3048,0.003390757
26,480850317151a,7107,0.007906472
27,480850317151b,7842,0.008724843
28,4.81E+11,263,0.000292634
29,4.81E+11,10729,0.011937934
30,4.81E+11,7303,0.008126866
31,4.81E+11,8001,0.008904332
32,4.81E+11,8001,0.008905125
33,4.81E+11,18882,0.021017566
34,4.81E+11,38020,0.042328982
35,4.81E+11,10274,0.011443244
36,4.81E+11,11739,0.013076466
37,4.81E+11,26878,0.029944222
38,4.81E+11,13928,0.015521543
39,4.81E+11,27856,0.031047906
40,4.81E+11,2799,0.003120695
41,4.81E+11,6167.5,0.006876558
42,4.81E+11,9638.5,0.010747347
43,4.81E+11,8120,0.009055127
44,4.81E+11,95066,0.106023727
45,4.81E+11,83044,0.092714317
46,4.81E+11,76152,0.085098655
47,4.81E+11,218022,0.243843643
48,4.81E+11,59088,0.066247684
49,4.81E+11,109623.5,0.12298804
50,4.81E+11,79968,0.089827624
51,4.81E+11,135644,0.152505166
52,4.81E+11,131974,0.1486056
53,4.81E+11,995735,1.122887983
54,4.81E+11,430328.5,0.490791461
55,481130004013a,659685,0.756084309
56,481130004013b,380225,0.439107034
57,4.81E+11,277344,0.321706412
58,4.81E+11,514018,0.5981618
59,481130004043a,859900,1.006685656
60,481130004043b,375836,0.444465897
61,4.81E+11,302138,0.358905414
62,4.81E+11,432008,0.515024583
63,4.81E+11,431227,0.516754918
64,4.81E+11,19020.5,0.022911349
65,4.81E+11,19114,0.023029252
66,4.81E+11,38171,0.046000421
67,4.81E+11,19114,0.023045157
68,4.81E+11,279043,0.336511044
69,4.81E+11,443933,0.537167257
70,4.81E+11,889440,1.08205151
71,4.81E+11,675295,0.830519267
72,4.81E+11,438887.5,0.544291247
73,4.81E+11,11119,0.013864817
74,4.81E+11,12709.5,0.015850286
75,4.81E+11,277344,0.345936397
76,4.81E+11,19449,0.024343317
77,4.81E+11,853435,1.06846095
78,4.81E+11,92336,0.116848864
79,4.81E+11,79192,0.100332704
80,4.81E+11,435293,0.552050548
81,4.81E+11,104813,0.133664624
82,4.81E+11,441515.5,0.563804023
83,4.81E+11,943258,1.211346006
84,4.81E+11,301812,0.392344121
85,4.81E+11,444513.5,0.580126737
86,4.81E+11,901447,1.183327395
87,4.81E+11,155678,0.206805335
88,4.81E+11,509072,0.677661449
89,4.81E+11,115650,0.155000204
90,4.81E+11,83612,0.112235159
91,4.81E+11,196625,0.264232816
92,4.81E+11,112240,0.151232365
93,4.81E+11,132075,0.178227615
94,4.81E+11,621613,0.840328682
95,4.81E+11,386126,0.52640871
96,4.81E+11,348058.5,0.477022064
97,4.81E+11,218000,0.30020599
98,4.81E+11,221706,0.306228809
99,4.81E+11,298119.5,0.413038903
100,4.81E+11,620051,0.862631885
101,4.81E+11,298817.5,0.419340431
102,4.81E+11,68654.5,0.096750834
103,4.81E+11,116388,0.164177751
104,4.81E+11,301141.5,0.425490931
105,4.81E+11,364944.5,0.517843283
106,4.81E+11,223968,0.319456923
107,4.81E+11,216828,0.310263939
108,4.81E+11,40908,0.058718336
109,4.81E+11,42642,0.061243238
110,4.81E+11,204017,0.293192591
111,4.81E+11,18019.5,0.02597195
112,4.81E+11,206680,0.297970374
113,4.81E+11,202128,0.292278663
114,4.81E+11,203252,0.294765513
115,4.81E+11,104410,0.151867897
116,4.81E+11,105570.5,0.15378944
117,4.81E+11,102250.5,0.149182469
118,4.81E+11,562796,0.822340593
119,4.81E+11,282806.5,0.416654675
120,4.81E+11,281401.5,0.416319323
121,4.81E+11,281271,0.417865911
122,4.81E+11,610481,0.910757401
123,4.81E+11,931788,1.402882059
124,4.81E+11,159012,0.242811766
125,4.81E+11,648252,0.992292008
126,4.81E+11,308822,0.477457646
127,4.81E+11,315222.5,0.489691278
128,4.81E+11,633808,0.989452164
129,4.81E+11,846338,1.334441266
130,4.81E+11,617471,0.986748803
131,4.81E+11,599485,0.967553621
132,4.81E+11,746819,1.21712329
133,4.81E+11,365438.5,0.602909108
134,4.81E+11,428947.5,0.711980357
135,4.81E+11,731761,1.223309313
136,4.81E+11,362547.5,0.613588859
137,4.81E+11,552193.5,0.940322509
138,4.81E+11,896606,1.541310984
139,4.81E+11,546920.5,0.954901962
140,4.81E+11,552883,0.974618911
141,4.81E+11,555035,0.988042089
142,4.81E+11,510749,0.918279632
143,4.81E+11,1044176,1.894731148
144,4.81E+11,474733,0.878073716
145,4.81E+11,962182,1.795432368
146,4.81E+11,641299,1.218542545
147,4.81E+11,477833,0.91913826
148,4.81E+11,910503,1.767650135
149,4.81E+11,579841.5,1.145960614
150,4.81E+11,2328721.5,4.655684362
151,4.81E+11,544351,1.141432399
152,4.81E+11,267511,0.567411981
153,4.81E+11,432609.5,0.92283523
154,4.81E+11,528482,1.137849291
155,4.81E+11,428167,0.93247604
156,4.81E+11,1727563,3.797756141
157,4.81E+11,900828,2.058495185
158,4.81E+11,1551387,3.619606458
159,4.81E+11,885234,2.14294289
160,4.81E+11,837946.5,2.072891886
161,4.81E+11,297258,0.75091535
