"","origin","Jobs"
"1","480850317041",11299
"2","480850317042",22696
"3","480850317043",34860
"4","480850317044",118980
"5","480850317061",40766
"6","480850317062",36558
"7","480850317081",53464
"8","480850317082",34990
"9","480850317083",32420
"10","480850317092",18528
"11","480850317093",20496
"12","480850317111",10091
"13","480850317112",15068
"14","480850317121",3809
"15","480850317122",5753
"16","480850317123",8793
"17","480850317124",2539
"18","480850317131",13376
"19","480850317132",11378
"20","480850317133",8462
"21","480850317134",22004
"22","480850317141",12189
"23","480850317142",7280
"24","480850317143",22433
"25","480850317144",6080
"26","480850317151a",16002
"27","480850317151b",27744
"28","480850317152",8044
"29","480850317161",18766
"30","480850317162",16198
"31","480850317171",18570
"32","480850317172",18766
"33","480850317181",22132
"34","480850317182",54492
"35","480850317191",14470
"36","480850317192",13746
"37","480850317201",32512
"38","480850317202",17192
"39","480850317203",41220
"40","480850318043",4106
"41","481130001001",10623
"42","481130001002",12297
"43","481130001003",13104
"44","481130002011",114016
"45","481130002012",88136
"46","481130002013",90624
"47","481130002021",268108
"48","481130002022",71256
"49","481130002023",141266
"50","481130003001",120440
"51","481130003002",171632
"52","481130003003",180752
"53","481130004011",991338
"54","481130004012",573016
"55","481130004013a",704688
"56","481130004013b",396672
"57","481130004041",289740
"58","481130004042",515336
"59","481130004043a",970128
"60","481130004043b",487464
"61","481130004044",302804
"62","481130004051",487464
"63","481130004052",458802
"64","481130004061",26917
"65","481130004062",27104
"66","481130004063",54094
"67","481130004064",27104
"68","481130004065",291160
"69","481130005001",494798
"70","481130005002",1454144
"71","481130005003",726822
"72","481130005004",487039
"73","481130006011",18224
"74","481130006012",24675
"75","481130006013",289784
"76","481130006014",32606
"77","481130006015",960158
"78","481130006031",116748
"79","481130006032",102940
"80","481130006033",483405
"81","481130006034",157169
"82","481130006051",496007
"83","481130006052",1112032
"84","481130006061",391320
"85","481130006062",498927
"86","481130006063",1017336
"87","481130007011",192800
"88","481130007012",594638
"89","481130007021",180634
"90","481130007022",119190
"91","481130007023",266990
"92","481130008001",174838
"93","481130008002",204792
"94","481130008003",803870
"95","481130008004",481624
"96","481130008005",444583
"97","481130009001",344376
"98","481130009002",342028
"99","481130009003",386533
"100","481130009004",789890
"101","481130010011",385097
"102","481130010012",94392
"103","481130010021",175912
"104","481130010022",389635
"105","481130011011",444973
"106","481130011012",274376
"107","481130011013",272840
"108","481130011021",43482
"109","481130011022",50016
"110","481130011023",218118
"111","481130012021",24327
