"","origin","Jobs"
"1",481130001001,60562
"2",481130001002,155864
"3",481130001003,251415
"4",481130002011,307962
"5",481130002012,305848
"6",481130002013,305405
"7",481130002021,432388
"8",481130002022,308111
"9",481130002023,432388
"10",481130003001,336841
"11",481130003002,339536
"12",481130003003,408849
"13",481130004011,529224
"14",481130004012,511652
"15",481130004013,514132
"16",481130004041,434480
"17",481130004042,535508
"18",481130004043,511541
"19",481130004044,511096
"20",481130004051,511541
"21",481130004052,511096
"22",481130004061,402729
"23",481130004062,399972
"24",481130004063,189563
"25",481130004064,399972
"26",481130004065,419839
"27",481130005001,511541
"28",481130005002,511541
"29",481130005003,513766
"30",481130005004,511541
"31",481130006011,418702
"32",481130006012,420085
"33",481130006013,433510
"34",481130006014,420607
"35",481130006015,511541
"36",481130006031,446667
"37",481130006032,444632
"38",481130006033,511541
"39",481130006034,446843
"40",481130006051,511541
"41",481130006052,508473
"42",481130006061,446900
"43",481130006062,508730
"44",481130006063,508554
"45",481130007011,446863
"46",481130007012,566391
"47",481130007021,409589
"48",481130007022,409589
"49",481130007023,409589
"50",481130008001,408353
"51",481130008002,530516
"52",481130008003,443911
"53",481130008004,530360
"54",481130008005,443354
"55",481130009001,407328
"56",481130009002,408389
"57",481130009003,443354
"58",481130009004,443354
"59",481130010011,444481
"60",481130010012,325875
"61",481130010021,408389
"62",481130010022,443557
"63",481130011011,444886
"64",481130011012,432388
"65",481130011013,433869
"66",481130011021,306969
"67",481130011022,394875
"68",481130011023,395655
"69",481130012021,162914
"70",481130012022,404494
"71",481130012023,404494
"72",481130012031,404494
"73",481130012032,404494
"74",481130012041,404494
"75",481130012042,404494
"76",481130013011,378334
"77",481130013012,378334
"78",481130013013,378334
"79",481130013021,378334
"80",481130013022,449505
"81",481130013023,378295
"82",481130014001,449505
"83",481130014002,449505
"84",481130014003,433869
"85",481130014004,435329
"86",481130015021,398018
"87",481130015022,411134
"88",481130015023,398128
"89",481130015024,411134
"90",481130015031,444886
"91",481130015032,444886
"92",481130015033,444886
"93",481130015041,444886
"94",481130015042,444886
"95",481130015043,449505
"96",481130015044,449505
"97",481130016001,567135
"98",481130016002,567135
"99",481130017011,622800
"100",481130017031,512685
"101",481130017032,558355
"102",481130017033,512685
"103",481130017041,562398
"104",481130017042,583499
"105",481130018001,510094
"106",481130018002,557892
"107",481130019001,583499
"108",481130019002,552336
"109",481130020001,363862
"110",481130020002,445237
"111",481130020003,530527
"112",481130020004,447909
"113",481130020005,445237
"114",481130021001,579694
"115",481130021002,606756
"116",481130022001,450432
"117",481130022002,402637
"118",481130024001,391340
"119",481130024002,406713
"120",481130024003,406713
"121",481130025001,187978
"122",481130025002,187089
"123",481130025003,388043
"124",481130025004,426507
"125",481130027011,178005
"126",481130027012,165132
"127",481130027013,180795
"128",481130027014,272267
"129",481130027021,355127
"130",481130027022,161931
"131",481130031011,542142
"132",481130031012,547553
"133",481130034001,376752
"134",481130034002,376782
"135",481130037001,346018
"136",481130037002,376642
"137",481130037003,300462
"138",481130037004,350032
"139",481130038001,350032
"140",481130038002,341517
"141",481130038003,350032
"142",481130039011,177560
"143",481130039012,300505
"144",481130039021,300462
"145",481130039022,341474
"146",481130040001,336998
"147",481130040002,146080
"148",481130041001,361517
"149",481130041002,272801
"150",481130042011,424622
"151",481130042012,333037
"152",481130042013,449626
"153",481130042014,449626
"154",481130042015,449626
"155",481130042021,443620
"156",481130042022,358706
"157",481130042023,357990
"158",481130043001,455670
"159",481130043002,385147
"160",481130043003,454108
"161",481130044001,495789
"162",481130044002,423920
"163",481130044003,498813
"164",481130045001,439218
"165",481130045002,358157
"166",481130045003,358157
"167",481130045004,369763
"168",481130046001,437432
"169",481130046002,445287
"170",481130047001,438982
"171",481130047002,438982
"172",481130047003,438982
"173",481130048001,447909
"174",481130048002,447909
"175",481130048003,361495
"176",481130048004,350851
"177",481130049001,208084
"178",481130049002,274301
"179",481130049003,275634
"180",481130049004,275634
"181",481130050001,364562
"182",481130050002,364562
"183",481130050003,345551
"184",481130051001,364562
"185",481130051002,421057
"186",481130052001,437432
"187",481130052002,362159
"188",481130052003,362090
"189",481130052004,362090
"190",481130053001,362159
"191",481130053002,362090
"192",481130053003,362090
"193",481130053004,362159
"194",481130053005,362159
"195",481130054001,330280
"196",481130054002,286603
"197",481130054003,330280
"198",481130054004,330280
"199",481130055001,89445
"200",481130055002,290995
"201",481130055003,291098
"202",481130055004,291098
"203",481130056001,330468
"204",481130056002,275721
"205",481130056003,330468
"206",481130056004,289120
"207",481130057001,63825
