"","w_geocode","Jobs"
"1","480850317041",81
"2","480850317042",883
"3","480850317043",152
"4","480850317043",152
"5","480850317044",336
"6","480850317044",336
"7","480850317044",336
"8","480850317061",1535
"9","480850317061",1535
"10","480850317062",65
"11","480850317062",65
"12","480850317062",65
"13","480850317081",49
"14","480850317081",49
"15","480850317082",1379
"16","480850317083",2914
"17","480850317092",269
"18","480850317093",894
"19","480850317111",88
"20","480850317112",576
"21","480850317121",99
"22","480850317122",83
"23","480850317123",22
"24","480850317124",421
"25","480850317131",493
"26","480850317132",23
"27","480850317133",14
"28","480850317134",20
"29","480850317141",20
"30","480850317142",4
"31","480850317142",4
"32","480850317143",60
"33","480850317144",230
"34","480850317152",36
"35","480850317161",2282
"36","480850317162",18
"37","480850317171",199
"38","480850317172",10
"39","480850317181",105
"40","480850317181",105
"41","480850317182",642
"42","480850317182",642
"43","480850317191",438
"44","480850317192",15
"45","480850317201",12
"46","480850317201",12
"47","480850317202",194
"48","480850317203",71
"49","480850317203",71
"50","480850318043",2298
"51","481130001001",203
"52","481130001002",1025
"53","481130001003",42
"54","481130002011",450
"55","481130002011",450
"56","481130002012",794
"57","481130002012",794
"58","481130002013",37
"59","481130002013",37
"60","481130002021",176
"61","481130002021",176
"62","481130002022",605
"63","481130002023",333
"64","481130003001",515
"65","481130003002",794
"66","481130003002",794
"67","481130003003",349
"68","481130003003",349
"69","481130004011",1572
"70","481130004011",1572
"71","481130004012",254
"72","481130004041",57
"73","481130004042",411
"74","481130004044",86
"75","481130004044",86
"76","481130004051",720
"77","481130004052",182
"78","481130004061",10
"79","481130004062",48
"80","481130004063",1166
"81","481130004063",1166
"82","481130004064",10
"83","481130004065",6465
"84","481130005001",39
"85","481130005002",6240
"86","481130005002",6240
"87","481130005003",206
"88","481130005004",443
"89","481130006011",308
"90","481130006012",229
"91","481130006013",184
"92","481130006014",245
"93","481130006015",52
"94","481130006015",52
"95","481130006031",183
"96","481130006032",55
"97","481130006033",361
"98","481130006034",1081
"99","481130006051",1411
"100","481130006052",4153
"101","481130006052",4153
"102","481130006061",1325
"103","481130006061",1325
"104","481130006061",1325
"105","481130006062",370
"106","481130006063",619
"107","481130006063",619
"108","481130007011",250
"109","481130007012",4710
"110","481130007021",3405
"111","481130007022",3170
"112","481130007023",1443
"113","481130007023",1443
"114","481130008001",59
"115","481130008002",2975
"116","481130008003",15
"117","481130008003",15
"118","481130008004",413
"119","481130008005",51
"120","481130009001",773
"121","481130009001",773
"122","481130009002",99
"123","481130009002",99
"124","481130009003",238
"125","481130009004",81
"126","481130009004",81
"127","481130010011",207
"128","481130010012",248
"129","481130010021",154
"130","481130010022",1332
"131","481130011011",187
"132","481130011012",81
"133","481130011012",81
"134","481130011013",661
"135","481130011013",661
"136","481130011021",20
"137","481130011022",61
"138","481130011023",569
"139","481130011023",569
"140","481130012021",275
"141","481130012021",275
"142","481130012021",275
"143","481130012022",12
"144","481130012022",12
"145","481130012023",95
"146","481130012023",95
"147","481130012031",23
"148","481130012031",23
"149","481130012032",1
"150","481130012041",5
"151","481130012042",155
"152","481130013011",217
"153","481130013011",217
"154","481130013012",69
"155","481130013013",21
"156","481130013021",19
"157","481130013022",5
"158","481130013022",5
"159","481130013023",119
"160","481130013023",119
"161","481130013023",119
"162","481130014001",63
"163","481130014002",20
"164","481130014002",20
"165","481130014002",20
"166","481130014002",20
"167","481130014003",696
"168","481130014003",696
"169","481130014004",253
"170","481130015021",77
"171","481130015021",77
"172","481130015022",768
"173","481130015022",768
"174","481130015023",157
"175","481130015023",157
"176","481130015024",45
"177","481130015024",45
"178","481130015031",102
"179","481130015031",102
"180","481130015032",1583
"181","481130015033",661
"182","481130015041",129
"183","481130015041",129
"184","481130015042",54
"185","481130015043",23
"186","481130015043",23
"187","481130015043",23
"188","481130015044",220
"189","481130015044",220
"190","481130016001",26844
"191","481130016002",3235
"192","481130017011",9992
"193","481130017031",2696
"194","481130017032",413
"195","481130017032",413
"196","481130017033",142
"197","481130017041",457
"198","481130017041",457
"199","481130017042",4696
"200","481130018001",619
"201","481130018002",10678
"202","481130018002",10678
"203","481130019001",6774
"204","481130019002",7148
"205","481130019002",7148
"206","481130019002",7148
"207","481130020001",535
"208","481130020001",535
"209","481130020002",140
"210","481130020003",41
"211","481130020004",15
"212","481130020004",15
"213","481130021001",14120
"214","481130021001",14120
"215","481130021002",21818
"216","481130022001",2820
"217","481130022001",2820
"218","481130022001",2820
"219","481130022002",12123
"220","481130022002",12123
"221","481130024001",84
"222","481130024001",84
"223","481130024001",84
"224","481130024002",402
"225","481130024003",19
"226","481130025001",151
"227","481130025001",151
"228","481130025002",526
"229","481130025003",361
"230","481130025004",373
"231","481130027011",71
"232","481130027012",39
"233","481130027013",12
"234","481130027021",11
"235","481130027022",1207
"236","481130027022",1207
"237","481130031011",11902
"238","481130031012",33875
"239","481130031012",33875
"240","481130034001",416
"241","481130034002",315
"242","481130037003",114
"243","481130037004",89
"244","481130038001",4
"245","481130038002",24
"246","481130038002",24
"247","481130039011",97
"248","481130039012",123
"249","481130039021",6
"250","481130039022",105
"251","481130040001",44
"252","481130040002",1401
"253","481130041001",251
"254","481130041002",274
"255","481130042011",107
"256","481130042011",107
"257","481130042012",66
"258","481130042013",4536
"259","481130042013",4536
"260","481130042014",2502
"261","481130042015",83
"262","481130042021",76
"263","481130042022",66
"264","481130042023",46
"265","481130043001",3034
"266","481130043001",3034
"267","481130043002",748
"268","481130043003",971
"269","481130044001",13
"270","481130044002",34
"271","481130044003",170
"272","481130045001",545
"273","481130045001",545
"274","481130045002",167
"275","481130045003",70
"276","481130045004",50
"277","481130046001",836
"278","481130046002",99
"279","481130047001",2573
"280","481130047002",566
"281","481130047003",163
"282","481130048001",74
"283","481130048002",26
"284","481130048003",715
"285","481130048004",389
"286","481130049001",13
"287","481130049002",305
"288","481130049002",305
"289","481130049003",4
"290","481130049004",10
"291","481130050001",2471
"292","481130050002",181
"293","481130050003",210
"294","481130050003",210
"295","481130051001",72
"296","481130051002",13
"297","481130052001",54
"298","481130052002",254
"299","481130052003",36
"300","481130053001",42
"301","481130053002",9
"302","481130053003",9
"303","481130053004",25
"304","481130053005",391
"305","481130053005",391
"306","481130054001",23
"307","481130054001",23
"308","481130054002",14
"309","481130054003",26
"310","481130054003",26
"311","481130054004",82
"312","481130054004",82
"313","481130055001",103
"314","481130055002",4
"315","481130055002",4
"316","481130055003",111
"317","481130055003",111
"318","481130055004",89
"319","481130056001",85
"320","481130056001",85
"321","481130056002",12
"322","481130056002",12
"323","481130056003",78
"324","481130056004",59
"325","481130057001",191
"326","481130057002",96
"327","481130057003",16
"328","481130057004",75
"329","481130059011",4
"330","481130059012",77
"331","481130059015",42
"332","481130059021",3
"333","481130059021",3
"334","481130059022",1018
"335","481130059022",1018
"336","481130059022",1018
"337","481130060011",103
"338","481130060012",62
"339","481130060013",12
"340","481130060021",312
"341","481130060022",129
"342","481130060023",64
"343","481130061001",92
"344","481130061001",92
"345","481130061002",171
"346","481130062001",7
"347","481130062002",2
"348","481130062002",2
"349","481130062003",871
"350","481130062004",3
"351","481130062005",223
"352","481130063012",16
"353","481130063013",1003
"354","481130063014",162
"355","481130063014",162
"356","481130063015",29
"357","481130063016",24
"358","481130063021",44
"359","481130063021",44
"360","481130063022",20
"361","481130063022",20
"362","481130063023",57
"363","481130063023",57
"364","481130064011",36
"365","481130064021",36
"366","481130064022",139
"367","481130064023",176
"368","481130065011",1396
"369","481130065012",206
"370","481130065013",25
"371","481130065021",6
"372","481130065022",94
"373","481130065023",711
"374","481130067001",23
"375","481130067002",74
"376","481130067003",5
"377","481130067004",1
"378","481130068001",284
"379","481130068002",408
"380","481130068002",408
"381","481130068003",158
"382","481130069001",125
"383","481130069001",125
"384","481130069002",14
"385","481130069003",215
"386","481130071011",1512
"387","481130071011",1512
"388","481130071012",22
"389","481130071021",497
"390","481130071022",696
"391","481130071023",740
"392","481130071024",370
"393","481130071025",24
"394","481130072011",336
"395","481130072012",137
"396","481130072013",128
"397","481130072014",111
"398","481130072015",76
"399","481130072021",9
"400","481130072022",13
"401","481130072023",23
"402","481130072024",204
"403","481130072025",150
"404","481130073011",334
"405","481130073012",8991
"406","481130073012",8991
"407","481130073021",48
"408","481130073021",48
"409","481130073022",214
"410","481130073023",552
"411","481130073023",552
"412","481130073024",746
"413","481130073024",746
"414","481130076011",229
"415","481130076012",83
"416","481130076012",83
"417","481130076041",234
"418","481130076042",45
"419","481130076042",45
"420","481130076043",701
"421","481130076043",701
"422","481130076051",73
"423","481130076051",73
"424","481130076052",413
"425","481130076052",413
"426","481130076052",413
"427","481130077001",39
"428","481130077002",188
"429","481130077003",37
"430","481130077004",888
"431","481130078011",8914
"432","481130078011",8914
"433","481130078012",30
"434","481130078012",30
"435","481130078041",1352
"436","481130078042",128
"437","481130078043",1551
"438","481130078044",488
"439","481130078051",908
"440","481130078052",1164
"441","481130078052",1164
"442","481130078053",113
"443","481130078091",454
"444","481130078092",538
"445","481130078092",538
"446","481130078092",538
"447","481130078102",715
"448","481130078103",71
"449","481130078104",113
"450","481130078111",6
"451","481130078112",90
"452","481130078113",579
"453","481130078113",579
"454","481130078113",579
"455","481130078114",42
"456","481130078114",42
"457","481130078121",366
"458","481130078121",366
"459","481130078122",308
"460","481130078122",308
"461","481130078151",17
"462","481130078152",3043
"463","481130078153",12
"464","481130078181",20
"465","481130078182",2
"466","481130078183",44
"467","481130078184",14
"468","481130078191",601
"469","481130078191",601
"470","481130078192",781
"471","481130078201",689
"472","481130078202",31
"473","481130078203",57
"474","481130078211",53
"475","481130078212",31
"476","481130078213",262
"477","481130078221",12794
"478","481130078222",2870
"479","481130078231",2806
"480","481130078232",1127
"481","481130078233",816
"482","481130078241",631
"483","481130078242",19
"484","481130078251",281
"485","481130078252",35
"486","481130078252",35
"487","481130078254",76
"488","481130078254",76
"489","481130078255",1
"490","481130078261",17
"491","481130078261",17
"492","481130078271",5
"493","481130078271",5
"494","481130078272",3
"495","481130078272",3
"496","481130078273",11
"497","481130078273",11
"498","481130079021",381
"499","481130079022",24
"500","481130079023",253
"501","481130079024",320
"502","481130079024",320
"503","481130079025",29
"504","481130079031",644
"505","481130079031",644
"506","481130079032",43
"507","481130079032",43
"508","481130079061",60
"509","481130079062",2293
"510","481130079062",2293
"511","481130079091",21
"512","481130079092",1442
"513","481130079101",179
"514","481130079102",37
"515","481130079111",63
"516","481130079112",50
"517","481130079121",2005
"518","481130079122",1106
"519","481130079131",16
"520","481130079132",4
"521","481130079133",5987
"522","481130079141",5855
"523","481130079141",5855
"524","481130079142",9
"525","481130080001",55
"526","481130080002",59
"527","481130080003",557
"528","481130080004",66
"529","481130080004",66
"530","481130080005",119
"531","481130080006",100
"532","481130081001",1994
"533","481130081002",264
"534","481130081002",264
"535","481130081003",42
"536","481130081003",42
"537","481130081005",341
"538","481130082001",25
"539","481130082002",219
"540","481130082003",876
"541","481130082004",266
"542","481130084001",128
"543","481130084002",21
"544","481130084003",21
"545","481130084004",26
"546","481130084005",23
"547","481130084006",43
"548","481130084007",551
"549","481130084007",551
"550","481130085001",851
