Id,c000
481130100002,63896
481130100001,57675
481130099002,39533
481130031012,33875
481130016001,26844
481130021002,21818
481130132002,18485
481130136161,16662
481139801001,16443
481130204003,16397
481130136163,16290
481130185061,15333
481130021001,14120
481130078221,12794
481130022002,12123
481130031011,11902
481130018002,10678
481130017011,9992
481130190401,9636
481130204002,9019
481130073012,8991
481130078011,8914
481130019002,7148
481130166052,6933
481130019001,6774
481130004065,6465
481130005002,6240
481130079133,5987
481130079141,5855
481130105002,5734
481130097012,5429
481130136262,5150
481130165201,4997
481130096044,4806
481130136152,4801
481130007012,4710
481130017042,4696
481130042013,4536
481130136201,4474
481130107011,4366
481130134002,4193
481130006052,4153
481130132001,3593
481130109031,3566
481130096051,3477
481130204001,3427
481130007021,3405
481130096102,3395
481130121002,3309
481130165212,3256
481130132003,3249
481130016002,3235
481130136202,3227
481130007022,3170
481130205001,3124
481130078152,3043
481130043001,3034
481130008002,2975
480850317083,2914
481130122071,2875
481130078222,2870
481130022001,2820
481130078231,2806
481130122072,2761
481130017031,2696
481130047001,2573
481130190353,2532
481130042014,2502
481130050001,2471
481130192081,2359
481130078101,2316
481130079062,2293
480850317161,2282
481130136222,2201
481130159003,2157
481130136111,2146
481130165202,2099
481130079121,2005
481130081001,1994
481130203001,1893
481130109042,1824
481130096083,1636
481130096071,1619
481130135002,1596
481130096042,1590
481130015032,1583
481130004011,1572
481130078043,1551
481130192132,1544
480850317061,1535
481130098032,1516
481130071011,1512
481130140011,1506
481130109041,1481
481130007023,1443
481130079092,1442
481130006051,1411
481130096033,1410
481130190163,1407
481130040002,1401
481130065011,1396
481130096101,1385
480850318043,1382
480850317082,1379
481130130112,1356
481130078041,1352
481130010022,1332
481130006061,1325
481130093041,1325
481130090005,1284
481130122113,1260
481130027022,1207
481130136261,1180
481130004063,1166
481130078052,1164
481130122045,1147
481130078232,1127
481130108041,1119
481130079122,1106
481130096041,1105
481130131011,1103
481130131013,1094
481130006034,1081
481130190192,1076
481130130113,1064
481130130101,1032
481130001002,1025
481130136181,1021
481130059022,1018
481130063013,1003
481130096032,995
481130132004,986
481130043003,971
481130136091,967
481130086031,965
481130136082,956
481130165203,934
481130127011,917
481130078051,908
480850317093,894
481130136063,891
481130077004,888
480850317042,883
481130082003,876
481130062003,871
481130106021,860
481130085001,851
481130122061,846
481130096103,837
481130136172,837
481130046001,836
481130078233,816
481130128001,811
481130167031,806
481210216372,804
481130002012,794
481130003002,794
481130205002,794
481130078192,781
481130009001,773
481130015022,768
481130106013,768
481130098025,753
481130043002,748
481130073024,746
481130193021,745
481130071023,740
481130108053,739
481130004051,720
481130095001,720
481130048003,715
481130078102,715
481130065023,711
481130076043,701
481130014003,696
481130071022,696
481130078201,689
481130097022,684
481130098043,670
481130011013,661
481130015033,661
481130079031,644
481130136104,643
480850317182,642
481130078241,631
481130190352,629
481130006063,619
481130018001,619
481130133001,619
481130002022,605
481130078191,601
481130096043,600
481130078113,579
480850317112,576
481130011023,569
481130047002,566
481130091053,559
481130080003,557
481130122044,554
481130073023,552
481130084007,551
481130109021,551
481130123023,546
481130045001,545
481130185031,543
481130078092,538
481130135001,538
481130020001,535
481130025002,526
481130003001,515
481130131051,507
481130130043,503
481130071021,497
481130130041,496
480850317131,493
481130128002,491
481130078044,488
481130126011,478
481130085003,476
481130203002,472
481130085004,469
481130130054,461
481130206002,459
481130017041,457
481130078091,454
481130002011,450
481130005004,443
480850317191,438
481130136252,433
481130119001,429
481130004013,425
480850317124,421
481130119004,419
481130034001,416
481130008004,413
481130017032,413
481130076052,413
481130004042,411
481130101021,411
481130068002,408
481130098042,407
481130192051,403
481130024002,402
481130117013,392
481130053005,391
481130096072,390
481130048004,389
481130170042,384
481130141271,383
481130079021,381
481130136191,381
481130110021,380
481130094013,378
481130025004,373
481130133002,373
481130112001,371
481130122112,371
481130006062,370
481130071024,370
481130107012,367
481130078121,366
481130006033,361
481130025003,361
481130127022,359
481130136053,354
481130003003,349
481130088013,343
481130081005,341
481130096092,341
481130097013,340
481130202001,338
480850317044,336
481130072011,336
481130136101,335
481130073011,334
481130002023,333
481130166072,326
481130136081,325
481130091014,323
481130079024,320
481130105001,320
481130136251,318
481130092013,317
481130034002,315
481130167014,314
481130088023,313
481130060021,312
481130171012,312
481130116024,311
481130006011,308
481130078122,308
481130049002,305
481130125003,301
481130128006,297
481130136211,296
481130096111,293
481130130045,290
481130092012,285
481130130051,285
481130068001,284
481130078251,281
481130192082,277
481130116023,276
481130012021,275
481130041002,274
481130089001,273
481210216364,271
480850317092,269
481130082004,266
481130081002,264
481130078213,262
481130130053,261
481130094021,259
481130117023,257
481130136074,257
481130192131,257
481130004012,254
481130052002,254
481130203003,254
481130014004,253
481130079023,253
481130106011,253
481130041001,251
481130007011,250
481130010012,248
481130111011,246
481130006014,245
481130166073,243
481130092022,241
481130113002,240
481130009003,238
481130093031,237
481130136232,237
481130090002,236
481130076041,234
481130171022,232
480850317144,230
481130006012,229
481130076011,229
481130129003,228
481130130073,228
481130136112,227
481130134001,225
481130062005,223
481130015044,220
481130136192,220
481130190341,220
481210216351,220
481130082002,219
481130128005,218
481130013011,217
481130136242,216
481130069003,215
481130091042,215
481130073022,214
481130136051,212
481130050003,210
481130010011,207
481130005003,206
481130065012,206
481130111013,206
481130137271,206
481130072024,204
481130001001,203
481130108014,203
481130129001,203
481130123021,202
481130093011,201
480850317171,199
481130108052,196
480850317202,194
481130096052,193
481130057001,191
481130165102,190
481130077002,188
481130011011,187
481130006013,184
481130006031,183
481130004052,182
481130050002,181
481130185052,180
481130079101,179
481130091011,177
481130096113,177
481130136153,177
481130002021,176
481130064023,176
481130061002,171
481130090003,171
481130044003,170
481130130082,169
481130117012,168
481130045002,167
481130096031,164
481130108013,164
481130126041,164
481130130103,164
481130047003,163
481130063014,162
481130068003,158
481130015023,157
481130086041,157
481130130091,156
481130012042,155
481130116022,155
481130010021,154
480850317043,152
481130025001,151
481130072025,150
481130087052,144
481130130081,144
481130107042,143
481130017033,142
481130092021,142
481130136071,142
481130206001,141
481130020002,140
481130097021,140
481130136093,140
481130064022,139
481130072012,137
481130136241,137
481130124002,135
481130096082,134
481130136193,132
481130185062,132
481130136173,131
481130015041,129
481130060022,129
481130167011,129
481130072013,128
481130078042,128
481130084001,128
481130202003,128
481130069001,125
481130097011,125
481130136182,124
481130039012,123
481130013023,119
481130080005,119
481130090004,115
481130037003,114
481130078053,113
481130078104,113
481130136054,113
481130055003,111
481130072014,111
481130136243,110
481130116021,108
481130042011,107
481130087043,107
481130136203,106
480850317181,105
481130039022,105
481130129005,105
481130055001,103
481130060011,103
481130091032,103
481130114011,103
481130123022,103
481210216362,103
481130015031,102
481130087042,102
481130101013,102
481130080006,100
480850317121,99
481130009002,99
481130046002,99
481210216352,99
481130039011,97
481130125001,97
481130130072,97
481130057002,96
481130096073,96
481130012023,95
481130165101,95
481130065022,94
481130167033,94
481130122091,93
481130190182,93
481130061001,92
481130190342,92
481130111044,91
481130078112,90
481130037004,89
481130055004,89
480850317111,88
481130136213,88
481130004044,86
481130140021,86
481130056001,85
481130024001,84
481130129004,84
480850317122,83
481130042015,83
481130076012,83
481130054004,82
481130111031,82
481130130092,82
480850317041,81
481130009004,81
481130011012,81
481130166061,81
481130136102,80
481130108012,79
481130056003,78
481210216363,78
481130015021,77
481130059012,77
481130108051,77
481210216361,77
481210216382,77
481130042021,76
481130072015,76
481130078254,76
481130110022,76
481130118004,76
481130057004,75
481130136231,75
481130048001,74
481130067002,74
481130125005,74
481130076051,73
481130127023,73
481130131053,73
481130051001,72
481130085002,72
480850317203,71
481130027011,71
481130078103,71
481130124004,71
481130045003,70
481130117022,70
481130136052,70
481130013012,69
481130110012,69
481130113001,69
481130122043,69
481130124005,69
481130126031,68
481130136103,68
481130042012,66
481130042022,66
481130080004,66
481130122041,66
481130130042,66
480850317062,65
481130116011,65
481210216341,65
481130060023,64
481130094022,64
481130110013,64
481130112002,64
481130126012,64
481130131041,64
481130014001,63
481130079111,63
481130108034,63
481130060012,62
481130092023,62
481130122062,62
481130123012,62
481130011022,61
481130096094,61
481130129002,61
481130130071,61
480850317143,60
481130079061,60
481130101023,60
481130130052,60
481130008001,59
481130056004,59
481130080002,59
481130087051,59
481130093013,59
481130108033,59
481130118003,59
481130122102,59
481130004041,57
481130063023,57
481130078203,57
481130136233,57
481130118002,56
481130122092,56
481130130093,56
480850317091,55
481130006032,55
481130080001,55
481130015042,54
481130052001,54
481130096091,54
481130136061,54
481130078211,53
481130120002,53
481130122101,53
481130165104,53
481130006015,52
481130117014,52
481130126013,52
481210216381,52
480850317151,51
481130008005,51
481130087015,51
481130045004,50
481130079112,50
481130098044,50
480850317081,49
481130185032,49
481210216161,49
481130004062,48
481130073021,48
481130131022,48
481130170033,48
481130124003,47
481130130111,47
481130042023,46
481130015024,45
481130076042,45
481130101011,45
481130111012,45
481130111041,45
481130040001,44
481130063021,44
481130078183,44
481130171011,44
483970405042,44
481130079032,43
481130084006,43
481130088011,43
481130101012,43
481130123013,43
481130124006,43
481130165103,43
481130166051,43
481130001003,42
481130053001,42
481130059015,42
481130078114,42
481130081003,42
481130020003,41
481130081004,41
481130170013,40
481130005001,39
481130027012,39
481130077001,39
481130126042,39
481130190411,39
481210216163,39
481210216373,39
481130095002,38
481130002013,37
481130077003,37
481130079102,37
481130128003,37
481130136092,37
480850317152,36
481130052003,36
481130064011,36
481130064021,36
481130099001,36
481130101022,36
481130202002,36
481130078252,35
481130093032,35
481130185051,35
481130044002,34
481130089003,34
481130098041,34
481130108036,34
481130127013,34
481130107032,33
481130165111,33
481130092015,32
481130096093,32
481130131012,32
481130131021,32
481210216353,32
481130078202,31
481130078212,31
481130096112,31
481130098021,31
481130107041,31
481130078012,30
481130122073,30
481130136062,30
481130166071,30
481130063015,29
481130079025,29
481130108011,29
481130121003,29
481130126032,29
481130136073,28
481130176051,28
481130176052,28
481130190162,28
481130190181,28
481130131042,27
481130048002,26
481130054003,26
481130084004,26
481130091012,26
481130106012,26
481130114012,26
481130053004,25
481130065013,25
481130082001,25
481130116012,25
481130119006,25
481130136221,25
481130038002,24
481130063016,24
481130071025,24
481130079022,24
481130107031,24
481130120004,24
481130123011,24
480850317132,23
481130004043,23
481130012031,23
481130015043,23
481130054001,23
481130067001,23
481130072023,23
481130084005,23
481130094011,23
481130096081,23
481130116013,23
480850317123,22
481130071012,22
481130119002,22
481130171021,22
481130013013,21
481130079091,21
481130084002,21
481130084003,21
481130098024,21
481130108031,21
481130130044,21
481130136171,21
481130198001,21
480850317134,20
480850317141,20
481130011021,20
481130014002,20
481130063022,20
481130078181,20
481130122081,20
483970403013,20
481130013021,19
481130024003,19
481130078242,19
481130119003,19
481130121001,19
481130128004,19
481130165211,19
481130178051,19
480850317162,18
481130088022,18
481130092011,18
481130098031,18
481130192123,18
481130078151,17
481130078261,17
481130108035,17
481130190191,17
481130057003,16
481130063012,16
481130079131,16
481130087012,16
481130089002,16
481130093044,16
481130106022,16
481130109022,16
481130110014,16
481130111043,16
481130190161,16
480850317192,15
481130008003,15
481130020004,15
481130170041,15
480850317133,14
481130054002,14
481130069002,14
481130078184,14
481130087014,14
481130091051,14
481130111053,14
481130122082,14
481130136072,14
481130137221,14
481130170043,14
481130185033,14
481210216323,14
481130044001,13
481130049001,13
481130051002,13
481130072022,13
481130091041,13
481130136212,13
480850317201,12
481130012022,12
481130027013,12
481130056002,12
481130060013,12
481130078153,12
481130087011,12
481130111051,12
481130115002,12
481130122063,12
481130165021,12
481130027021,11
481130078273,11
481130111052,11
481130127021,11
481130136151,11
481130167013,11
481210216162,11
480850317172,10
481130004061,10
481130004064,10
481130049004,10
481130086032,10
481130090001,10
481130098023,10
481130170014,10
481130190183,10
481130053002,9
481130053003,9
481130072021,9
481130079142,9
481130112003,9
481130115004,9
481210216342,9
481130093012,8
481130109023,8
481130127012,8
481130130102,8
481130062001,7
481130094012,7
481130110023,7
481130115003,7
481130190194,7
481130039021,6
481130065021,6
481130078111,6
481130108042,6
481130125004,6
481130012041,5
481130013022,5
481130067003,5
481130078271,5
481130115001,5
481130131054,5
481130190193,5
480850317142,4
481130038001,4
481130049003,4
481130055002,4
481130059011,4
481130079132,4
481130093042,4
481130110011,4
481130113003,4
481130120001,4
481130120003,4
481130122042,4
481130192083,4
481130059021,3
481130062004,3
481130078272,3
481130092014,3
481130098022,3
481130118005,3
481130165112,3
481130167012,3
481210216365,3
481130062002,2
481130078182,2
481130088021,2
481130108032,2
481130111032,2
481130127014,2
481130131052,2
481130163012,2
481130178052,2
483970402001,2
481130012032,1
481130067004,1
481130078255,1
481130098033,1
481130111033,1
481130124001,1
481130180013,1
