GEOID,F1,F2,F3,F4,F5,F6,Number of Records
1234,,0,1,2,3,4,1
statecountytractblock group,0,B23025_002E,state,county,tract,block group,1
481130167034,1,4085,48,113,016703,4,1
481130167031,2,379,48,113,016703,1,1
481130167032,3,807,48,113,016703,2,1
481130167033,4,351,48,113,016703,3,1
481130174001,5,329,48,113,017400,1,1
481130174003,6,631,48,113,017400,3,1
481130174004,7,1343,48,113,017400,4,1
481130174002,8,337,48,113,017400,2,1
481130178041,9,653,48,113,017804,1,1
481130178044,10,1484,48,113,017804,4,1
481130178042,11,432,48,113,017804,2,1
481130178043,12,1065,48,113,017804,3,1
481130178131,13,1084,48,113,017813,1,1
481130178133,14,674,48,113,017813,3,1
481130178134,15,1132,48,113,017813,4,1
481130178132,16,1015,48,113,017813,2,1
481130184012,17,1054,48,113,018401,2,1
481130184011,18,649,48,113,018401,1,1
481130184013,19,719,48,113,018401,3,1
481130190161,20,551,48,113,019016,1,1
481130190162,21,810,48,113,019016,2,1
481130054002,22,319,48,113,005400,2,1
481130054004,23,490,48,113,005400,4,1
481130054001,24,1053,48,113,005400,1,1
481130076011,25,482,48,113,007601,1,1
481130076012,26,517,48,113,007601,2,1
481130091032,27,579,48,113,009103,2,1
481130091031,28,879,48,113,009103,1,1
481130094022,29,735,48,113,009402,2,1
481130094021,30,688,48,113,009402,1,1
481130096101,31,795,48,113,009610,1,1
481130096102,32,1179,48,113,009610,2,1
481130098023,33,602,48,113,009802,3,1
481130098021,34,744,48,113,009802,1,1
481130098022,35,993,48,113,009802,2,1
481130098024,36,379,48,113,009802,4,1
481130164101,37,1885,48,113,016410,1,1
481130160022,38,684,48,113,016002,2,1
481130164092,39,966,48,113,016409,2,1
481130164091,40,976,48,113,016409,1,1
481130164102,41,696,48,113,016410,2,1
481130165025,42,497,48,113,016502,5,1
481130165023,43,1350,48,113,016502,3,1
481130165022,44,1066,48,113,016502,2,1
481130165021,45,189,48,113,016502,1,1
481130165024,46,307,48,113,016502,4,1
481130165184,47,641,48,113,016518,4,1
481130165181,48,556,48,113,016518,1,1
481130165183,49,284,48,113,016518,3,1
481130165182,50,740,48,113,016518,2,1
481130183003,51,878,48,113,018300,3,1
481130183005,52,554,48,113,018300,5,1
481130187001,53,718,48,113,018700,1,1
481130183004,54,977,48,113,018300,4,1
481130183001,55,482,48,113,018300,1,1
481130187004,56,631,48,113,018700,4,1
481130187003,57,617,48,113,018700,3,1
481130190163,58,557,48,113,019016,3,1
481130190311,59,1527,48,113,019031,1,1
481130170042,60,1727,48,113,017004,2,1
481130170041,61,968,48,113,017004,1,1
481130173013,62,502,48,113,017301,3,1
481130173012,63,1506,48,113,017301,2,1
481130173011,64,864,48,113,017301,1,1
481130178111,65,291,48,113,017811,1,1
481130178113,66,1174,48,113,017811,3,1
481130178112,67,692,48,113,017811,2,1
481130178142,68,1166,48,113,017814,2,1
481130178143,69,796,48,113,017814,3,1
481130178141,70,1314,48,113,017814,1,1
481130179003,71,422,48,113,017900,3,1
481130179002,72,330,48,113,017900,2,1
481130179001,73,440,48,113,017900,1,1
481130179004,74,863,48,113,017900,4,1
481130156002,75,890,48,113,015600,2,1
481130156001,76,891,48,113,015600,1,1
481130156003,77,944,48,113,015600,3,1
481130163012,78,1723,48,113,016301,2,1
481130163013,79,1314,48,113,016301,3,1
481130163011,80,776,48,113,016301,1,1
481130164072,81,1120,48,113,016407,2,1
481130164071,82,1430,48,113,016407,1,1
481130164073,83,625,48,113,016407,3,1
481130190314,84,943,48,113,019031,4,1
481130190312,85,563,48,113,019031,2,1
481130190313,86,584,48,113,019031,3,1
481130190321,87,551,48,113,019032,1,1
481130190322,88,207,48,113,019032,2,1
481130098025,89,894,48,113,009802,5,1
481130011022,90,468,48,113,001102,2,1
481130107032,91,715,48,113,010703,2,1
481130107031,92,703,48,113,010703,1,1
481130011023,93,697,48,113,001102,3,1
481130011021,94,603,48,113,001102,1,1
481130015031,95,698,48,113,001503,1,1
481130015033,96,478,48,113,001503,3,1
481130007023,97,555,48,113,000702,3,1
481130007021,98,945,48,113,000702,1,1
481130007022,99,876,48,113,000702,2,1
481130008002,100,1396,48,113,000800,2,1
481130008004,101,1035,48,113,000800,4,1
481130008005,102,502,48,113,000800,5,1
481130008003,103,672,48,113,000800,3,1
481130008001,104,1270,48,113,000800,1,1
481130166183,105,889,48,113,016618,3,1
481130166181,106,836,48,113,016618,1,1
481130166182,107,780,48,113,016618,2,1
481130170033,108,1907,48,113,017003,3,1
481130170031,109,1154,48,113,017003,1,1
481130170032,110,1377,48,113,017003,2,1
481130170034,111,851,48,113,017003,4,1
481130172023,112,751,48,113,017202,3,1
481130172022,113,895,48,113,017202,2,1
481130172024,114,988,48,113,017202,4,1
481130172021,115,1058,48,113,017202,1,1
481130173033,116,1258,48,113,017303,3,1
481130173032,117,1657,48,113,017303,2,1
481130173031,118,1055,48,113,017303,1,1
481130173061,119,1641,48,113,017306,1,1
481130173062,120,969,48,113,017306,2,1
481130178081,121,393,48,113,017808,1,1
481130178083,122,1451,48,113,017808,3,1
481130178082,123,654,48,113,017808,2,1
481130192046,124,614,48,113,019204,6,1
481130147014,125,708,48,113,014701,4,1
481130147012,126,507,48,113,014701,2,1
481130147011,127,616,48,113,014701,1,1
481130147013,128,723,48,113,014701,3,1
481130143082,129,1468,48,113,014308,2,1
481130143081,130,671,48,113,014308,1,1
481130144063,131,921,48,113,014406,3,1
481130144061,132,992,48,113,014406,1,1
481130144062,133,440,48,113,014406,2,1
481130146011,134,327,48,113,014601,1,1
481130146022,135,384,48,113,014602,2,1
481130146012,136,699,48,113,014601,2,1
481130146021,137,711,48,113,014602,1,1
481130146023,138,920,48,113,014602,3,1
481130147031,139,720,48,113,014703,1,1
481130150005,140,649,48,113,015000,5,1
481130150003,141,858,48,113,015000,3,1
481130150001,142,927,48,113,015000,1,1
481130150004,143,950,48,113,015000,4,1
481130150002,144,341,48,113,015000,2,1
481130151004,145,361,48,113,015100,4,1
481130151002,146,700,48,113,015100,2,1
481130151003,147,484,48,113,015100,3,1
481130151005,148,1297,48,113,015100,5,1
481130072021,149,394,48,113,007202,1,1
481130072022,150,1338,48,113,007202,2,1
481130077001,151,324,48,113,007700,1,1
481130077002,152,708,48,113,007700,2,1
481130077003,153,381,48,113,007700,3,1
481130077004,154,1102,48,113,007700,4,1
481130078043,155,1045,48,113,007804,3,1
481130078042,156,344,48,113,007804,2,1
481130078041,157,1607,48,113,007804,1,1
481130078151,158,216,48,113,007815,1,1
481130078153,159,1372,48,113,007815,3,1
481130078152,160,1023,48,113,007815,2,1
481130079022,161,680,48,113,007902,2,1
481130079025,162,458,48,113,007902,5,1
481130079024,163,405,48,113,007902,4,1
481130079021,164,755,48,113,007902,1,1
481130079023,165,563,48,113,007902,3,1
481130119001,166,1078,48,113,011900,1,1
481130135001,167,625,48,113,013500,1,1
481130131022,168,677,48,113,013102,2,1
481130131021,169,340,48,113,013102,1,1
481130135002,170,714,48,113,013500,2,1
481130136172,171,388,48,113,013617,2,1
481130136171,172,763,48,113,013617,1,1
481130136173,173,564,48,113,013617,3,1
481130137211,174,1180,48,113,013721,1,1
481130137213,175,1394,48,113,013721,3,1
481130139012,176,484,48,113,013901,2,1
481130137212,177,1350,48,113,013721,2,1
481130139011,178,843,48,113,013901,1,1
481130139013,179,605,48,113,013901,3,1
481130140013,180,614,48,113,014001,3,1
481130140012,181,516,48,113,014001,2,1
481130140011,182,601,48,113,014001,1,1
481130140014,183,545,48,113,014001,4,1
481130141142,184,841,48,113,014114,2,1
481130141141,185,1379,48,113,014114,1,1
481130137151,186,627,48,113,013715,1,1
481130137162,187,821,48,113,013716,2,1
481130137161,188,1066,48,113,013716,1,1
481130137163,189,857,48,113,013716,3,1
481130166062,190,761,48,113,016606,2,1
481130166061,191,1550,48,113,016606,1,1
481130166064,192,927,48,113,016606,4,1
481130166063,193,838,48,113,016606,3,1
481130166121,194,1056,48,113,016612,1,1
481130166123,195,1929,48,113,016612,3,1
481130166124,196,2202,48,113,016612,4,1
481130166125,197,911,48,113,016612,5,1
481130166122,198,1306,48,113,016612,2,1
481130166126,199,873,48,113,016612,6,1
481130166171,200,528,48,113,016617,1,1
481130166173,201,1204,48,113,016617,3,1
481130166172,202,609,48,113,016617,2,1
481130165172,203,704,48,113,016517,2,1
481130165173,204,150,48,113,016517,3,1
481130165171,205,1372,48,113,016517,1,1
481130178064,206,371,48,113,017806,4,1
481130178062,207,1302,48,113,017806,2,1
481130178063,208,264,48,113,017806,3,1
481130178061,209,707,48,113,017806,1,1
481130178121,210,672,48,113,017812,1,1
481130178122,211,625,48,113,017812,2,1
481130181051,212,285,48,113,018105,1,1
481130181053,213,1060,48,113,018105,3,1
481130181054,214,581,48,113,018105,4,1
481130181052,215,1103,48,113,018105,2,1
481130118002,216,710,48,113,011800,2,1
481130118004,217,940,48,113,011800,4,1
481130126012,218,836,48,113,012601,2,1
481130126011,219,1514,48,113,012601,1,1
481130190244,220,866,48,113,019024,4,1
481130190241,221,654,48,113,019024,1,1
481130190242,222,507,48,113,019024,2,1
481130190243,223,456,48,113,019024,3,1
481130190323,224,1031,48,113,019032,3,1
481130190371,225,406,48,113,019037,1,1
481130190372,226,1112,48,113,019037,2,1
481130190373,227,517,48,113,019037,3,1
481130192102,228,513,48,113,019210,2,1
481130192104,229,451,48,113,019210,4,1
481130192101,230,560,48,113,019210,1,1
481130192103,231,498,48,113,019210,3,1
481130137171,232,826,48,113,013717,1,1
481130137172,233,631,48,113,013717,2,1
481130141211,234,272,48,113,014121,1,1
481130122101,235,723,48,113,012210,1,1
481130122102,236,1511,48,113,012210,2,1
481130164074,237,745,48,113,016407,4,1
481130166071,238,936,48,113,016607,1,1
481130166072,239,320,48,113,016607,2,1
481130151001,240,642,48,113,015100,1,1
481130002011,241,713,48,113,000201,1,1
481130002013,242,474,48,113,000201,3,1
481130002012,243,729,48,113,000201,2,1
481130012032,244,540,48,113,001203,2,1
481130012031,245,374,48,113,001203,1,1
481130015021,246,538,48,113,001502,1,1
481130015024,247,732,48,113,001502,4,1
481130015022,248,361,48,113,001502,2,1
481130015023,249,309,48,113,001502,3,1
481130022001,250,1206,48,113,002200,1,1
481130022002,251,439,48,113,002200,2,1
481130024001,252,278,48,113,002400,1,1
481130024003,253,482,48,113,002400,3,1
481130024002,254,804,48,113,002400,2,1
481130031011,255,1635,48,113,003101,1,1
481130034002,256,373,48,113,003400,2,1
481130034001,257,235,48,113,003400,1,1
481130039012,258,318,48,113,003901,2,1
481130053005,259,883,48,113,005300,5,1
481130053003,260,402,48,113,005300,3,1
481130053002,261,967,48,113,005300,2,1
481130053004,262,642,48,113,005300,4,1
481130053001,263,665,48,113,005300,1,1
481130181182,264,844,48,113,018118,2,1
481130181183,265,1145,48,113,018118,3,1
481130181181,266,361,48,113,018118,1,1
481130181292,267,1072,48,113,018129,2,1
481130181291,268,1242,48,113,018129,1,1
481130190181,269,1054,48,113,019018,1,1
481130190182,270,790,48,113,019018,2,1
481130019001,271,2308,48,113,001900,1,1
481130043001,272,500,48,113,004300,1,1
481130043002,273,161,48,113,004300,2,1
481130043003,274,411,48,113,004300,3,1
481130060021,275,1508,48,113,006002,1,1
481130060023,276,535,48,113,006002,3,1
481130190332,277,554,48,113,019033,2,1
481130060022,278,585,48,113,006002,2,1
481130190331,279,645,48,113,019033,1,1
481130190333,280,1210,48,113,019033,3,1
481130194001,281,361,48,113,019400,1,1
481130194003,282,1020,48,113,019400,3,1
481130194002,283,576,48,113,019400,2,1
481130158001,284,312,48,113,015800,1,1
481130158002,285,696,48,113,015800,2,1
481130160014,286,400,48,113,016001,4,1
481130160012,287,262,48,113,016001,2,1
481130160011,288,515,48,113,016001,1,1
481130160013,289,688,48,113,016001,3,1
481130162021,290,1077,48,113,016202,1,1
481130162022,291,505,48,113,016202,2,1
481130161002,292,525,48,113,016100,2,1
481130010011,293,637,48,113,001001,1,1
481130010012,294,426,48,113,001001,2,1
481130015043,295,451,48,113,001504,3,1
481130015041,296,545,48,113,001504,1,1
481130015042,297,178,48,113,001504,2,1
481130015044,298,223,48,113,001504,4,1
481130016002,299,834,48,113,001600,2,1
481130016001,300,1990,48,113,001600,1,1
481130017011,301,406,48,113,001701,1,1
481130140021,302,15,48,113,014002,1,1
481130141231,303,1344,48,113,014123,1,1
481130141232,304,767,48,113,014123,2,1
481130141233,305,730,48,113,014123,3,1
481130141234,306,503,48,113,014123,4,1
481130153061,307,521,48,113,015306,1,1
481130153063,308,704,48,113,015306,3,1
481130153062,309,1571,48,113,015306,2,1
481130162013,310,690,48,113,016201,3,1
481130162011,311,1101,48,113,016201,1,1
481130162012,312,364,48,113,016201,2,1
481130164081,313,1462,48,113,016408,1,1
481130164083,314,560,48,113,016408,3,1
481130164082,315,1059,48,113,016408,2,1
481130164084,316,1234,48,113,016408,4,1
481130165102,317,1968,48,113,016510,2,1
481130165101,318,1878,48,113,016510,1,1
481130165163,319,265,48,113,016516,3,1
481130165164,320,775,48,113,016516,4,1
481130165162,321,421,48,113,016516,2,1
481130165165,322,477,48,113,016516,5,1
481130165161,323,645,48,113,016516,1,1
481130166052,324,1922,48,113,016605,2,1
481130181101,325,826,48,113,018110,1,1
481130181103,326,530,48,113,018110,3,1
481130181102,327,1093,48,113,018110,2,1
481130184031,328,624,48,113,018403,1,1
481130190193,329,654,48,113,019019,3,1
481130190191,330,1629,48,113,019019,1,1
481130190192,331,941,48,113,019019,2,1
481130190216,332,749,48,113,019021,6,1
481130190212,333,377,48,113,019021,2,1
481130190214,334,1032,48,113,019021,4,1
481130190215,335,366,48,113,019021,5,1
481130190211,336,669,48,113,019021,1,1
481130190213,337,629,48,113,019021,3,1
481130190271,338,595,48,113,019027,1,1
481130192031,339,540,48,113,019203,1,1
481130192032,340,410,48,113,019203,2,1
481130192034,341,394,48,113,019203,4,1
481130192033,342,585,48,113,019203,3,1
481130192061,343,1490,48,113,019206,1,1
481130192064,344,659,48,113,019206,4,1
481130192062,345,749,48,113,019206,2,1
481130192063,346,291,48,113,019206,3,1
481130192111,347,865,48,113,019211,1,1
481130192112,348,612,48,113,019211,2,1
481130192113,349,513,48,113,019211,3,1
481130042013,350,400,48,113,004201,3,1
481130042015,351,352,48,113,004201,5,1
481130042012,352,496,48,113,004201,2,1
481130042022,353,613,48,113,004202,2,1
481130042021,354,535,48,113,004202,1,1
481130042023,355,240,48,113,004202,3,1
481130048002,356,285,48,113,004800,2,1
481130048001,357,432,48,113,004800,1,1
481130048003,358,176,48,113,004800,3,1
481130048004,359,443,48,113,004800,4,1
481130049003,360,209,48,113,004900,3,1
481130049004,361,133,48,113,004900,4,1
481130049001,362,528,48,113,004900,1,1
481130049002,363,509,48,113,004900,2,1
481130055002,364,727,48,113,005500,2,1
481130055001,365,218,48,113,005500,1,1
481130055003,366,438,48,113,005500,3,1
481130055004,367,434,48,113,005500,4,1
481130059014,368,267,48,113,005901,4,1
481130059015,369,207,48,113,005901,5,1
481130059016,370,324,48,113,005901,6,1
481130059013,371,394,48,113,005901,3,1
481130059012,372,210,48,113,005901,2,1
481130059011,373,508,48,113,005901,1,1
481130060012,374,881,48,113,006001,2,1
481130060011,375,292,48,113,006001,1,1
481130060013,376,689,48,113,006001,3,1
481130063021,377,985,48,113,006302,1,1
481130190131,378,393,48,113,019013,1,1
481130190132,379,806,48,113,019013,2,1
481130190134,380,987,48,113,019013,4,1
481130190133,381,333,48,113,019013,3,1
481130191001,382,698,48,113,019100,1,1
481130191004,383,1030,48,113,019100,4,1
