0,workforce,state,county,tract,block group
1,5064,48,113,016703,4
2,672,48,113,016703,1
3,1371,48,113,016703,2
4,602,48,113,016703,3
5,598,48,113,017400,1
6,885,48,113,017400,3
7,2211,48,113,017400,4
8,552,48,113,017400,2
9,863,48,113,017804,1
10,2111,48,113,017804,4
11,803,48,113,017804,2
12,1611,48,113,017804,3
13,1292,48,113,017813,1
14,941,48,113,017813,3
15,1435,48,113,017813,4
16,1427,48,113,017813,2
17,1551,48,113,018401,2
18,1031,48,113,018401,1
19,971,48,113,018401,3
20,722,48,113,019016,1
21,1030,48,113,019016,2
22,746,48,113,005400,2
23,1110,48,113,005400,4
24,1817,48,113,005400,1
25,932,48,113,007601,1
26,758,48,113,007601,2
27,1027,48,113,009103,2
28,1514,48,113,009103,1
29,890,48,113,009402,2
30,1098,48,113,009402,1
31,978,48,113,009610,1
32,1468,48,113,009610,2
33,880,48,113,009802,3
34,1057,48,113,009802,1
35,1249,48,113,009802,2
36,607,48,113,009802,4
37,2405,48,113,016410,1
38,1210,48,113,016002,2
39,1442,48,113,016409,2
40,1469,48,113,016409,1
41,1115,48,113,016410,2
42,661,48,113,016502,5
43,1740,48,113,016502,3
44,1539,48,113,016502,2
45,275,48,113,016502,1
46,531,48,113,016502,4
47,1056,48,113,016518,4
48,1008,48,113,016518,1
49,581,48,113,016518,3
50,1060,48,113,016518,2
51,1348,48,113,018300,3
52,950,48,113,018300,5
53,954,48,113,018700,1
54,1270,48,113,018300,4
55,741,48,113,018300,1
56,1150,48,113,018700,4
57,896,48,113,018700,3
58,771,48,113,019016,3
59,1903,48,113,019031,1
60,2227,48,113,017004,2
61,1615,48,113,017004,1
62,867,48,113,017301,3
63,2326,48,113,017301,2
64,1124,48,113,017301,1
65,477,48,113,017811,1
66,1674,48,113,017811,3
67,1063,48,113,017811,2
68,1503,48,113,017814,2
69,1090,48,113,017814,3
70,1898,48,113,017814,1
71,655,48,113,017900,3
72,703,48,113,017900,2
73,914,48,113,017900,1
74,1473,48,113,017900,4
75,1423,48,113,015600,2
76,1301,48,113,015600,1
77,1324,48,113,015600,3
78,2458,48,113,016301,2
79,1650,48,113,016301,3
80,1276,48,113,016301,1
81,1465,48,113,016407,2
82,2165,48,113,016407,1
83,781,48,113,016407,3
84,1383,48,113,019031,4
85,732,48,113,019031,2
86,836,48,113,019031,3
87,936,48,113,019032,1
88,321,48,113,019032,2
89,1108,48,113,009802,5
90,566,48,113,001102,2
91,1142,48,113,010703,2
92,999,48,113,010703,1
93,881,48,113,001102,3
