,year,depart_time,origin,destination,travel_time
0,2018,8:0:00,481130001001,481130001001,212
1,2018,8:0:00,481130001001,481130001002,1310
2,2018,8:0:00,481130001001,481130001003,1354
15,2018,8:0:00,481130001001,481130081004,1543
16,2018,8:0:00,481130001001,481130081005,1535
17,2018,8:0:00,481130001001,481130082003,1712
21,2018,8:0:00,481130001001,481130012022,1681
22,2018,8:0:00,481130001001,481130012023,1750
23,2018,8:0:00,481130001001,481130012031,1302
24,2018,8:0:00,481130001001,481130012032,1362
25,2018,8:0:00,481130001001,481130012041,1623
26,2018,8:0:00,481130001001,481130012042,1631
49,2018,8:0:00,481130001001,481130080001,1497
53,2018,8:0:00,481130001001,481130080005,1622
56,2018,8:0:00,481130001001,481130024003,1660
60,2018,8:0:00,481130001001,481130024002,1658
61,2018,8:0:00,481130001001,481130025004,1763
83,2018,8:0:00,481130001002,481130001001,1312
84,2018,8:0:00,481130001002,481130001002,60
85,2018,8:0:00,481130001002,481130001003,743
86,2018,8:0:00,481130001002,481130002011,1671
87,2018,8:0:00,481130001002,481130002012,1737
88,2018,8:0:00,481130001002,481130002013,1549
90,2018,8:0:00,481130001002,481130002022,1459
110,2018,8:0:00,481130001002,481130081004,1459
111,2018,8:0:00,481130001002,481130081005,1464
113,2018,8:0:00,481130001002,481130082002,1785
114,2018,8:0:00,481130001002,481130082003,1641
115,2018,8:0:00,481130001002,481130082004,1779
118,2018,8:0:00,481130001002,481130011022,1306
120,2018,8:0:00,481130001002,481130011021,1352
122,2018,8:0:00,481130001002,481130011023,1433
124,2018,8:0:00,481130001002,481130012022,794
125,2018,8:0:00,481130001002,481130012023,863
126,2018,8:0:00,481130001002,481130012031,1100
127,2018,8:0:00,481130001002,481130012032,1350
128,2018,8:0:00,481130001002,481130012041,1600
129,2018,8:0:00,481130001002,481130012042,1084
130,2018,8:0:00,481130001002,481130013011,1768
131,2018,8:0:00,481130001002,481130014002,1598
132,2018,8:0:00,481130001002,481130013012,1321
133,2018,8:0:00,481130001002,481130013013,1596
134,2018,8:0:00,481130001002,481130013021,1324
135,2018,8:0:00,481130001002,481130013022,1524
136,2018,8:0:00,481130001002,481130013023,1623
137,2018,8:0:00,481130001002,481130014001,1409
145,2018,8:0:00,481130001002,481130014004,1361
149,2018,8:0:00,481130001002,481130014003,1601
150,2018,8:0:00,481130001002,481130015044,1766
151,2018,8:0:00,481130001002,481130015022,1760
152,2018,8:0:00,481130001002,481130015023,1511
