"","origin","Jobs","workers","Wieghted_Avg","Job_Perct"
"1",4.8113e+11,509132,7923,4391.14732,6.630507401
"2",4.8113e+11,1286467.5,3081,4314.678841,6.515042175
"3",4.8113e+11,535839,3729,2175.127206,3.284380138
"4",4.8113e+11,622228.5,2452,1660.842014,2.507824144
"5",4.8113e+11,872580,1659,1575.830849,2.379459705
"6",4.8113e+11,949285,1331,1375.411437,2.076832101
"7",4.8113e+11,495669,2325,1254.505798,1.894268029
"8",4.8113e+11,323444.5,2792,983.0444193,1.484369078
"9",4.8113e+11,298296.5,2943,955.6445278,1.442996022
"10",4.8113e+11,590496,1443,927.5583699,1.400586723
"11",4.8113e+11,496372,1645,888.8554406,1.342146402
"12",4.8113e+11,426444.5,1911,887.1175317,1.339522209
"13",4.8113e+11,550066,1472,881.4152681,1.330911954
"14",4.8113e+11,313174.5,2415,823.3063884,1.2431692
"15",4.8113e+11,293914,2561,819.3846226,1.237247446
"16",4.8113e+11,363411,1893,748.8703574,1.130772913
"17",4.8113e+11,478599,1406,732.512542,1.106073078
"18",4.8113e+11,930899,721,730.6271155,1.103226137
"19",4.8113e+11,553678,1173,706.9899448,1.067534683
"20",4.8113e+11,394445,1573,675.4187853,1.019863131
"21",4.8113e+11,521649,1158,657.574398,0.992918615
"22",4.8113e+11,320475,1872,653.0673294,0.986113069
"23",4.8113e+11,274172,2012,600.4945,0.906729594
"24",4.8113e+11,481722,1132,593.6095307,0.896333486
"25",4.8113e+11,315162,1580,542.0619116,0.81849805
"26",4.8113e+11,460013,1037,519.2862449,0.784107441
"27",4.8113e+11,543816,801,474.179151,0.715997014
"28",4.8113e+11,222843.5,1808,438.5876057,0.662254794
"29",4.8113e+11,400543,971,423.3760958,0.639285848
"30",4.8113e+11,273681,1388,413.5157653,0.624397029
"31",4.8113e+11,145489,2382,377.2505429,0.569637576
"32",4.8113e+11,344799,1005,377.215923,0.569585301
"33",4.8113e+11,281237,1186,363.0906815,0.548256589
"34",4.8113e+11,228502.5,1412,351.2235354,0.530337536
"35",4.8113e+11,255837,1251,348.4003808,0.526074653
"36",4.8113e+11,310806,1021,345.4403728,0.521605125
"37",4.8113e+11,240812,1303,341.570612,0.515761897
"38",4.8113e+11,446351,689,334.7755186,0.505501499
"39",4.8113e+11,508255,605,334.7302731,0.50543318
"40",4.8113e+11,311158,971,328.8956722,0.496623099
"41",4.8113e+11,516444,551,309.7653187,0.46773681
"42",4.8113e+11,374452,728,296.7464221,0.448078647
"43",4.8113e+11,257668,1056,296.198164,0.447250792
"44",4.8113e+11,375100,708,289.0934682,0.436522904
"45",4.8113e+11,288789,914,287.3325321,0.433863941
"46",4.8113e+11,437899,589,280.7677397,0.423951291
"47",4.8113e+11,508744,504,279.1179677,0.421460182
"48",4.8113e+11,244833.5,1041,277.4466773,0.418936582
"49",4.8113e+11,247917.5,971,262.050125,0.395688226
"50",4.8113e+11,194946,1221,259.1122527,0.391252122
"51",4.8113e+11,229401,1003,250.4691242,0.378201245
"52",4.8113e+11,243519.5,944,250.2440126,0.377861332
"53",4.8113e+11,222733.5,1024,248.2809827,0.374897213
"54",4.8113e+11,126775,1780,245.6470647,0.370920072
"55",4.8113e+11,100293,2233,243.7907946,0.368117157
"56",4.8113e+11,170310,1308,242.4967098,0.366163126
"57",4.8113e+11,304156,732,242.3625017,0.365960475
"58",4.8113e+11,243424,914,242.1963243,0.365709552
"59",4.8113e+11,334444.5,637,231.9110532,0.350179086
"60",4.8113e+11,158132,1303,224.2963142,0.338681047
"61",4.8113e+11,453736.5,454,224.2422937,0.338599477
"62",4.8113e+11,269489.5,743,217.9659325,0.329122351
"63",4.8113e+11,96238,2070,216.8577223,0.327448985
"64",4.8113e+11,133328,1492,216.5449924,0.326976772
"65",4.8113e+11,68369.5,2827,210.4002104,0.317698326
"66",4.8113e+11,150040,1244,203.182076,0.306799148
"67",4.8113e+11,247399,750,201.9840894,0.304990223
"68",4.8113e+11,144870,1277,201.3850907,0.304085752
"69",4.8113e+11,122955,1471,196.8869015,0.297293614
"70",4.8113e+11,264406.5,681,196.0095343,0.295968815
"71",4.8113e+11,245648,731,195.4738051,0.295159879
"72",4.8113e+11,541528,327,192.7643096,0.291068618
"73",4.8113e+11,194798.5,899,190.6352716,0.287853831
"74",4.8113e+11,241497,725,190.5933327,0.287790505
"75",4.8113e+11,168609,1033,189.600305,0.286291061
"76",4.8113e+11,121127,1432,188.8173667,0.285108846
"77",4.8113e+11,154838,1119,188.610383,0.284796307
"78",4.8113e+11,260824.5,653,185.4041805,0.279955033
"79",4.8113e+11,361841,462,181.9775057,0.274780851
"80",4.8113e+11,192474.5,827,173.2753031,0.261640773
"81",4.8113e+11,222486.5,710,171.9570438,0.259650239
"82",4.8113e+11,179140,874,170.436246,0.257353878
"83",4.8113e+11,92693,1674,168.9119398,0.255052219
"84",4.8113e+11,322159,477,167.2809958,0.25258954
"85",4.8113e+11,136908,1077,160.510145,0.242365748
"86",4.8113e+11,159772.5,911,158.4449367,0.239247342
"87",4.8113e+11,77264,1812,152.4029378,0.230124096
"88",4.8113e+11,219121.5,638,152.1821195,0.229790667
"89",4.8113e+11,121127,1151,151.7659141,0.229162208
"90",4.8113e+11,169544,817,150.7864925,0.22768331
"91",4.8113e+11,150416,919,150.4760922,0.227214614
"92",4.8113e+11,153384.5,899,150.1063706,0.226656345
"93",4.8113e+11,258836,531,149.6156964,0.225915441
"94",4.8113e+11,207751.5,649,146.7732201,0.221623383
"95",4.8113e+11,125466,1039,141.9056076,0.214273426
"96",4.8113e+11,124795,1005,136.5278354,0.206153143
"97",4.8113e+11,85888,1432,133.8854755,0.202163255
"98",4.8113e+11,69458,1760,133.0739044,0.200937806
"99",4.8113e+11,95059,1281,132.5562864,0.200156217
"100",4.8113e+11,90262,1331,130.7798892,0.197473908
"101",4.8113e+11,153203,774,129.0821492,0.194910369
"102",4.8113e+11,352852,336,129.0594525,0.194876098
"103",4.8113e+11,85816,1366,127.6077128,0.192684012
"104",4.8113e+11,78032,1500,127.4154096,0.19239364
"105",4.8113e+11,269489.5,423,124.0909683,0.187373828
"106",4.8113e+11,49896,2246,121.9925868,0.184205332
"107",4.8113e+11,269451.5,408,119.6737021,0.180703882
"108",4.8113e+11,92138,1169,117.2495676,0.177043508
"109",4.8113e+11,84278,1276,117.0638634,0.1767631
"110",4.8113e+11,80389,1335,116.8250161,0.176402447
"111",4.8113e+11,156515,685,116.7090394,0.176227326
"112",4.8113e+11,94654,1120,115.4024295,0.174254382
"113",4.8113e+11,152063,678,112.2305796,0.169464979
"114",4.8113e+11,134054,765,111.6346898,0.168565202
"115",4.8113e+11,130115,777,110.0541293,0.166178601
"116",4.8113e+11,81907,1229,109.5798899,0.165462513
