w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate
480019501001007,261635561004001,1,0,1,0,0,1,0,0,0,1,20160228
480019501001007,261635561004008,1,0,1,0,0,1,0,0,0,1,20160228
480019501001078,261635571002001,1,0,0,1,1,0,0,0,1,0,20160228
480019501001079,261635561003003,1,0,0,1,1,0,0,0,0,1,20160228
480019505001008,450630202022004,1,0,1,0,0,0,1,0,1,0,20160228
480019505001034,450630202012022,1,1,0,0,1,0,0,0,1,0,20160228
480019505001035,220379513002006,1,0,0,1,1,0,0,0,0,1,20160228
480019505001035,450630201001054,1,1,0,0,1,0,0,0,0,1,20160228
480019505002000,450630201001011,1,1,0,0,1,0,0,0,0,1,20160228
480019505002035,450630201001032,1,1,0,0,1,0,0,0,0,1,20160228
480019505003017,220379513001006,1,0,0,1,1,0,0,0,0,1,20160228
480019505003017,450630201001032,1,0,0,1,0,0,1,0,0,1,20160228
480019505003017,450630201001034,1,1,0,0,1,0,0,0,0,1,20160228
480019505003017,450630202012002,1,0,1,0,0,1,0,1,0,0,20160228
480019505003017,450630202012033,1,0,1,0,0,1,0,1,0,0,20160228
480019505003036,450630202012004,1,1,0,0,1,0,0,0,1,0,20160228
480019505003037,450630201001032,1,0,1,0,1,0,0,0,0,1,20160228
480019507002027,220170212002018,1,1,0,0,1,0,0,0,1,0,20160228
480019507002041,470470603003012,1,0,0,1,1,0,0,0,1,0,20160228
480019507003022,220790101002003,1,0,1,0,0,1,0,0,1,0,20160228
480019507003028,470470603001073,1,0,1,0,0,0,1,1,0,0,20160228
480019507003034,220170253002057,1,1,0,0,1,0,0,0,0,1,20160228
480019507003037,470470608003010,1,0,0,1,0,1,0,1,0,0,20160228
480019507003052,470470603001000,1,0,1,0,1,0,0,0,1,0,20160228
480019507003061,470470608003038,1,0,0,1,0,1,0,0,1,0,20160228
480019507003064,470470608002006,1,1,0,0,0,1,0,0,0,1,20160228
480019508001000,470299201003055,1,0,1,0,1,0,0,0,1,0,20160228
480019508001005,470299201002050,1,0,0,1,0,1,0,0,0,1,20160228
480019508002028,401091001001039,1,1,0,0,1,0,0,0,1,0,20160228
480019508002028,470299201001050,1,0,0,1,0,1,0,0,1,0,20160228
480019508002031,220170253002081,1,1,0,0,1,0,0,0,1,0,20160228
480019508002031,470299201002041,1,0,0,1,0,0,1,0,1,0,20160228
480019508002031,470299201003010,1,0,1,0,1,0,0,0,1,0,20160228
480019508002031,470299201003014,1,0,0,1,1,0,0,0,1,0,20160228
480019508002033,470299201002059,1,0,1,0,0,0,1,0,0,1,20160228
480019508002033,470299201003017,1,1,0,0,1,0,0,0,0,1,20160228
480019508002039,220170253001076,1,0,1,0,0,1,0,0,1,0,20160228
480019508004015,470299201001019,1,0,1,0,1,0,0,1,0,0,20160228
480019508004015,470299201003016,1,0,1,0,0,1,0,1,0,0,20160228
480019509012026,050299501001018,1,0,1,0,0,1,0,0,0,1,20160228
480019509012026,050299502001099,1,0,1,0,0,1,0,0,0,1,20160228
480019509012026,220170205001008,1,0,1,0,0,0,1,0,0,1,20160228
480019509013008,050299501002185,1,1,0,0,0,1,0,0,1,0,20160228
480019509013008,220170253001095,1,1,0,0,1,0,0,0,1,0,20160228
480019509013008,220170253001128,1,0,1,0,1,0,0,0,1,0,20160228
480019509023013,050299501001078,1,0,1,0,0,0,1,0,1,0,20160228
480019509023020,220790103004013,1,1,0,0,1,0,0,1,0,0,20160228
480019509024021,261635562001016,1,0,1,0,1,0,0,0,1,0,20160228
480019509024021,261635562003001,1,0,0,1,0,1,0,0,1,0,20160228
480019510002023,420333301004020,1,0,0,1,0,1,0,0,0,1,20160228
480019510002113,420333301002000,1,1,0,0,1,0,0,0,0,1,20160228
480019510003019,420333303003007,1,0,0,1,0,1,0,0,1,0,20160228
480019510006023,420333302003040,1,0,1,0,1,0,0,0,1,0,20160228
480019511001044,271230315001009,1,0,0,1,0,1,0,1,0,0,20160228
480019511004010,271230333001015,1,0,0,1,0,1,0,1,0,0,20160228
480019511004037,471570003002006,1,0,1,0,0,1,0,1,0,0,20160228
480019511004042,271230358003004,1,0,0,1,0,1,0,1,0,0,20160228
480019511004042,471570003001023,1,0,0,1,0,0,1,1,0,0,20160228
480019511004053,271230308001011,1,0,0,1,0,1,0,1,0,0,20160228
480019511004053,271230346021007,1,0,0,1,0,1,0,1,0,0,20160228
480019511004053,271230374033001,1,0,0,1,0,1,0,1,0,0,20160228
480019511004053,271230430003007,1,0,0,1,0,1,0,1,0,0,20160228
480019511004053,471570003001026,1,0,0,1,0,1,0,0,1,0,20160228
480039501001416,350250005023008,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250005024005,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250005025002,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250005031002,1,0,1,0,0,0,1,0,0,1,20160228
480039501001416,350250005031006,2,1,1,0,0,1,1,0,0,2,20160228
480039501001416,350250005032014,1,1,0,0,0,1,0,0,0,1,20160228
480039501001416,350250005033022,1,0,1,0,0,0,1,0,0,1,20160228
480039501001416,350250005041026,1,1,0,0,0,1,0,0,0,1,20160228
480039501001416,350250005043001,1,1,0,0,0,1,0,0,0,1,20160228
480039501001416,350250007022179,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250007031075,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250008001042,1,1,0,0,0,1,0,0,0,1,20160228
480039501001416,350250008002944,1,1,0,0,0,1,0,0,0,1,20160228
480039501001416,350250008003079,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250008003097,1,1,0,0,0,1,0,0,0,1,20160228
480039501001416,350250008004033,1,1,0,0,0,1,0,0,0,1,20160228
480039501001416,350250008004034,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250009001691,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250009002001,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250009002002,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250009002027,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250009002079,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250009003017,1,0,1,0,0,1,0,0,0,1,20160228
480039501001416,350250009003065,1,0,1,0,0,1,0,0,0,1,20160228
480039501001756,350150005003007,1,0,0,1,1,0,0,0,0,1,20160228
480039501001756,350250008001093,1,0,1,0,1,0,0,0,0,1,20160228
480039501001756,350250008003026,1,0,1,0,1,0,0,0,0,1,20160228
480039501001768,350250008004072,1,0,1,0,1,0,0,0,0,1,20160228
480039501001858,350150005001040,1,1,0,0,0,1,0,0,1,0,20160228
480039501001858,350150005001082,2,1,1,0,0,1,1,2,0,0,20160228
480039501001858,350150005002029,1,0,1,0,0,1,0,1,0,0,20160228
480039501001858,350250005026006,1,0,1,0,0,1,0,0,0,1,20160228
480039501001858,350250005033005,1,1,0,0,1,0,0,0,0,1,20160228
480039501001858,350250006003005,1,0,1,0,1,0,0,1,0,0,20160228
480039502001051,060371321012000,1,0,1,0,0,0,1,1,0,0,20160228
480039502001051,350150001001011,1,0,1,0,0,0,1,1,0,0,20160228
480039502001051,350150001001024,1,0,1,0,0,0,1,1,0,0,20160228
480039502001051,350150001001037,1,0,0,1,0,0,1,1,0,0,20160228
480039502001051,350150001001049,1,0,1,0,0,0,1,1,0,0,20160228
480039502001051,350150001001052,1,0,1,0,0,0,1,1,0,0,20160228
480039502001051,350150001001092,2,0,1,1,0,0,2,2,0,0,20160228
480039502001051,350150001001139,1,0,1,0,0,0,1,1,0,0,20160228
480039502001051,350150002003070,1,1,0,0,0,0,1,1,0,0,20160228
480039502001051,400039560002037,1,0,1,0,0,1,0,1,0,0,20160228
480039502002031,350150002003085,1,1,0,0,0,0,1,1,0,0,20160228
480039502003020,060730085012002,1,0,1,0,1,0,0,0,0,1,20160228
480039502003060,350150001001007,1,0,1,0,0,1,0,0,0,1,20160228
480039502003060,350150001001046,1,0,1,0,0,1,0,0,0,1,20160228
480039502006026,350150001001079,1,0,0,1,0,0,1,1,0,0,20160228
480039503001000,240150301002009,1,0,1,0,0,1,0,1,0,0,20160228
480039503001000,350150002003041,1,1,0,0,1,0,0,1,0,0,20160228
480039503001028,240150302004042,1,0,0,1,1,0,0,0,0,1,20160228
480039503001037,240150301001011,1,1,0,0,0,1,0,0,0,1,20160228
480039503001060,350150001001004,1,0,1,0,0,0,1,1,0,0,20160228
480039503002030,240150301003075,1,0,0,1,1,0,0,0,0,1,20160228
480039503002036,240150301001049,1,0,0,1,1,0,0,0,0,1,20160228
480039503002039,240150301002085,1,0,1,0,1,0,0,0,0,1,20160228
480039503002082,240150302002040,1,1,0,0,0,0,1,1,0,0,20160228
480039503002082,240150305011026,1,1,0,0,0,0,1,1,0,0,20160228
480039503003022,240150301002085,1,1,0,0,1,0,0,0,1,0,20160228
480039503003047,240150301002065,1,0,1,0,0,1,0,0,1,0,20160228
480039503003049,240150301002095,1,0,0,1,0,1,0,0,1,0,20160228
480039504001031,350150010005110,1,0,1,0,0,0,1,0,0,1,20160228
480050001012001,270054502001102,1,1,0,0,1,0,0,0,1,0,20160228
480050001013003,220150104002017,1,0,1,0,1,0,0,0,0,1,20160228
480050001013003,270054501001040,1,1,0,0,1,0,0,0,0,1,20160228
480050002003015,220139701004023,1,0,0,1,1,0,0,1,0,0,20160228
480050003013041,220790101002008,1,1,0,0,0,0,1,0,1,0,20160228
480050003013043,261210042001070,1,0,1,0,0,0,1,0,1,0,20160228
480050003013053,261210001003010,1,0,1,0,0,1,0,1,0,0,20160228
480050003021002,261210001001000,1,0,1,0,0,0,1,1,0,0,20160228
