w_geocode,C000
480019501001007,11
480019501001014,37
480019501001018,67
480019501001020,5
480019501001041,7
480019501001042,3
480019501001044,6
480019501001069,9
480019501001078,1
480019501001079,10
480019501001080,8
480019501001081,2
480019501001082,10
480019501001083,2
480019501001091,2
480019501001092,2
480019501002001,1
480019501002028,1
480019501002121,1
480019501002164,22
480019501002165,3
480019501002175,1
480019501002201,3
480019501003002,1
480019501003005,4
480019501003059,1
480019501003116,2
480019501003135,1
480019504011001,17
480019504011003,1
480019505001007,1
480019505001008,16
480019505001019,2
480019505001025,17
480019505001030,3
480019505001035,2
480019505002000,12
480019505002009,1
480019505002013,3
480019505002018,5
480019505002019,16
480019505002021,24
480019505002022,3
480019505002032,4
480019505002033,1
480019505002034,9
480019505002035,3
480019505002036,14
480019505002041,1
480019505003004,14
480019505003005,4
480019505003010,12
480019505003016,11
480019505003017,9
480019505003023,11
480019505003025,1
480019505003041,2
480019505003043,2
480019505003047,6
480019505003055,5
480019505003072,19
480019505003083,2
480019505004000,3
480019505004012,4
480019505004013,1
480019505004057,1
480019506001002,2
480019506001021,2
480019506001029,1
480019506001041,2
480019506001044,6
480019506001086,1
480019506001102,3
480019506002013,1
480019506002019,8
480019506002020,2
480019506002021,16
480019506002022,8
480019506002033,1
480019506003010,2
480019506003019,1
480019506003024,1
480019506003036,2
480019506003037,2
480019506003041,1
480019506003059,8
480019506003064,107
480019506003067,4
480019506003072,10
480019506003077,63
480019506003079,7
480019506003080,49
480019506003081,16
480019506003091,4
480019506004014,13
480019506004015,43
480019506004017,17
480019506004018,3
480019506004020,5
480019506004023,1
480019506004025,19
480019506004027,85
480019507001000,1
480019507001026,4
480019507001029,1
480019507001030,147
480019507001032,61
480019507001039,1
480019507001042,16
480019507001046,8
480019507002002,1
480019507002008,2
480019507002012,6
480019507002013,3
480019507002016,1
480019507002027,34
480019507002028,5
480019507002041,3
480019507003022,3
480019507003024,8
480019507003025,6
480019507003027,8
480019507003028,7
480019507003031,2
480019507003034,1
480019507003035,2
480019507003036,1
480019507003041,1
480019507003046,5
480019507003051,2
480019507003052,5
480019507003054,9
480019507003055,6
480019507003056,7
480019507003057,1
480019507003060,3
480019507003061,5
480019507003064,143
480019507003066,7
480019507003071,1
480019507003073,2
480019507003075,2
480019507003076,4
480019507003077,5
480019507003079,48
480019507003102,1
480019507003107,3
480019507003113,14
480019507003114,6
480019508001000,20
480019508001005,5
480019508001007,10
480019508001011,13
480019508001013,4
480019508001024,1
480019508002002,1
480019508002025,8
480019508002028,109
480019508002030,87
480019508002031,15
480019508002033,56
480019508002034,1
480019508002037,8
480019508002038,42
480019508002039,2
480019508003000,1
480019508003019,1
480019508003024,369
480019508003032,11
480019508003034,13
480019508004003,6
480019508004008,1
480019508004015,4
480019508004019,2
480019508004022,1
480019508005000,2
480019508005001,7
480019508005010,2
480019509011009,2
480019509011022,18
480019509011029,6
480019509011042,6
480019509011047,7
480019509011061,12
480019509011064,89
480019509011089,1
480019509011097,43
480019509011101,32
480019509012000,13
480019509012005,26
480019509012006,2
480019509012008,2
480019509012026,240
480019509012027,113
480019509012028,77
480019509012040,27
480019509013000,1
480019509013002,1
480019509013008,174
480019509013015,15
480019509013017,32
480019509013018,1
480019509013019,28
480019509013020,5
480019509013025,6
480019509013029,1
480019509014018,31
480019509014025,7
480019509014027,88
480019509014045,1
480019509014060,24
480019509014068,1
480019509014072,4
480019509014081,46
480019509021036,2
480019509021039,7
480019509021053,3
480019509021056,8
480019509021061,3
480019509021064,6
480019509021078,1
480019509021081,13
480019509022082,14
480019509022083,10
480019509022105,35
480019509022112,2
480019509022120,2
480019509023003,1
480019509023013,1
480019509023018,12
480019509023020,3
480019509024005,7
480019509024034,19
480019509024036,1
480019509024059,89
480019509024073,17
480019510001062,10
480019510001103,16
480019510002007,3
480019510002016,6
480019510002037,4
480019510002042,5
480019510002059,42
480019510002068,1
480019510002071,1
480019510002075,1
480019510002107,1
480019510002124,3
480019510002125,4
480019510002128,1
480019510003005,5
480019510003019,55
480019510005001,2
480019510005007,30
480019510005013,2
480019510006016,12
480019510006026,94
480019510006029,4
480019510006039,24
480019511001044,3
480019511001052,2
480019511001083,3
480019511001126,5
480019511002020,12
480019511002109,2
480019511002116,1
480019511002145,3
480019511003035,3
480019511003038,6
480019511003044,1
480019511003048,1
480019511003072,3
480019511003112,7
480019511004007,5
480019511004032,49
480019511004037,9
480019511004040,1
480019511004042,3
480019511004053,10
480019511004058,1
480039501001059,2
480039501001346,6
480039501001357,34
480039501001400,269
480039501001404,32
480039501001405,10
480039501001408,35
480039501001409,48
480039501001415,99
480039501001416,3
480039501001417,9
480039501001521,28
480039501001697,6
480039501001731,67
480039501001741,29
480039501001748,14
480039501001752,33
480039501001754,152
480039501001755,8
480039501001756,30
480039501001757,7
480039501001761,1
480039501001833,30
480039501001840,1
480039501001844,41
480039501001846,83
480039501001856,1
480039501001858,143
480039501001923,17
480039501001936,3
480039502001008,5
480039502001009,1
480039502001012,13
480039502001013,8
480039502001015,3
480039502001016,19
480039502001017,2
480039502001026,4
480039502001028,8
480039502001032,12
480039502001037,1
480039502001038,28
480039502001039,5
480039502001049,2
480039502002003,3
480039502002005,62
480039502002030,2
480039502002032,121
480039502002033,67
480039502003000,50
480039502003001,7
480039502003010,10
480039502003021,6
480039502003027,1
480039502003028,1
480039502003031,4
480039502003043,9
480039502003044,3
480039502003045,37
480039502003055,1
480039502003060,410
480039502004004,22
480039502005000,15
480039502005005,2
480039502005007,3
480039502005018,1
480039502006009,5
480039502006014,21
480039502006026,283
480039502006033,39
480039503001000,163
480039503001001,2
480039503001002,2
480039503001010,34
480039503001013,1
480039503001017,1
480039503001020,12
480039503001022,1
480039503001023,8
480039503001029,11
480039503001030,1
480039503001037,19
480039503001058,1
480039503001060,3
480039503001068,2
480039503001070,3
480039503001071,6
480039503001077,5
480039503001083,12
480039503001085,26
480039503001091,19
480039503001092,102
480039503001095,16
480039503001096,3
480039503001102,40
480039503002020,4
480039503002027,1
480039503002028,4
480039503002030,2
480039503002031,10
480039503002033,104
480039503002034,1
480039503002035,2
480039503002036,1
480039503002037,11
480039503002042,4
480039503002044,3
480039503002045,22
480039503002047,1
480039503002050,40
480039503002052,11
480039503002055,2
480039503002064,1
480039503002066,2
480039503002067,1
480039503002068,49
480039503002076,6
480039503002077,4
480039503002082,42
480039503002084,98
480039503002087,72
480039503002089,5
480039503003006,2
480039503003021,3
480039503003024,3
480039503003025,2
480039503003028,16
480039503003032,6
480039503003037,4
480039503003043,139
480039503003044,1
480039503003046,5
480039503003048,5
480039503003049,7
480039504001018,15
480039504001020,21
480039504001024,3
480039504001027,1
480039504001031,7
480039504001040,23
480039504001050,6
480039504001052,11
480039504001061,2
480039504001063,22
480039504001069,1
480039504001073,19
480039504001076,15
480039504001081,3
480039504001093,16
480039504001095,197
480039504001099,10
480039504001101,27
480039504001216,13
480039504001224,4
480039504001979,59
480039504001988,10
480039504001989,1
480039504001991,38
480039504001993,9
480039504001999,1
480050001011034,2
480050001011050,1
480050001011054,1
480050001011074,3
480050001011088,4
480050001011094,5
480050001011101,4
480050001011105,2
480050001011107,10
480050001012001,20
480050001012003,2
480050001012008,1
480050001012017,1
480050001012018,129
480050001012027,1
480050001012036,14
480050001012041,1
480050001013003,17
480050001013020,3
480050001013031,3
480050001013034,1
480050001013036,6
480050001021005,1
480050001021033,2
480050001021060,3
480050001021063,4
480050001021066,1
480050001021067,15
480050001021095,1
480050001021108,5
480050001022022,1
480050001022030,2
480050001022031,9
480050001022058,270
480050002001023,3
480050002001032,3
480050002001033,7
480050002001043,10
480050002001051,2
480050002001073,16
480050002001082,7
480050002002029,4
480050002002032,100
480050002002042,1
480050002002044,1
480050002002047,3
480050002002048,1
480050002003000,1
480050002003008,2
480050002003011,12
480050002003028,1
480050002003031,1
480050003011001,4
480050003011008,16
480050003011015,2
480050003011033,10
480050003012001,2
480050003012012,1
480050003012015,1
480050003012018,45
480050003012020,26
480050003012022,9
480050003012024,7
480050003013000,32
480050003013008,6
480050003013009,1
480050003013012,4
480050003013014,6
480050003013041,25
480050003013053,5
480050003013068,8
480050003021000,22
480050003021002,24
480050003021007,2
480050003021009,44
480050003021014,1
480050003021023,7
480050003021037,1
480050003021039,1
480050003022000,5
480050003022007,17
480050003022026,15
480050003022028,67
480050003022036,1
480050003022038,2
480050003022041,1
480050003022056,4
480050003022078,1
480050003022085,1
480050004001008,3
480050004001017,18
480050004001024,3
480050004001025,44
480050004001035,7
480050004001036,1
480050004001039,7
480050004001043,2
480050004001044,28
480050004002006,9
480050004002009,3
480050004002011,17
480050004002022,136
480050004002025,169
480050004002026,29
480050004002038,4
480050004002044,22
480050004002058,410
480050004002059,56
480050004002062,45
480050004002063,19
480050004002067,355
480050004002068,43
480050004002069,5
480050004002070,6
480050004002071,9
480050004002072,17
480050004002074,7
480050004002076,1
480050004002080,1
480050004002088,2
480050004002092,184
480050004003001,2
480050004003002,4
480050004003006,3
480050004003007,12
480050004003008,20
480050004003009,484
480050004003010,81
480050004003016,16
480050004003017,118
480050004003018,1
480050004003020,11
480050004003024,3
480050004003025,16
480050004003026,25
480050004003027,8
480050004003031,40
480050004003037,5
480050004003045,1
480050004003050,3
480050004004015,2
480050004004019,5
480050004004036,2
480050004004055,16
480050004004056,28
480050004004057,25
480050004004058,19
480050005001004,26
480050005001007,32
480050005001014,2
480050005001022,1
480050005002012,2
480050005002021,9
480050005002027,1
480050005002037,6
480050005002048,4
480050005002057,6
480050005004008,92
480050005004016,19
480050005004020,145
480050005004022,370
480050005004036,9
480050005004048,45
480050006001014,9
480050006001018,11
480050006001022,8
480050006001026,2
480050006001029,5
480050006001032,1
480050006001035,3
480050006001038,19
480050006001045,1
480050006001053,25
480050006002001,2
480050006002017,3
480050006002020,11
480050006002024,12
480050006002031,4
480050006002041,3
480050006003000,5
480050006003022,28
480050006003026,2
480050006003028,30
480050006003032,15
480050006003033,11
480050006004011,4
480050006004020,6
480050006004026,1
480050006004028,60
480050006004029,2
480050006004030,39
