geoid,latitude,longitude,latlong
480850317041,32.994912,-96.841001,"32.9949, -96.841"
480850317042,32.995034,-96.834225,"32.995, -96.8342"
480850317043,32.990303,-96.841369,"32.9903, -96.8414"
480850317044,32.989845,-96.835185,"32.9898, -96.8352"
480850317061,32.99333,-96.824641,"32.9933, -96.8246"
480850317062,32.993267,-96.818573,"32.9933, -96.8186"
480850317081,32.993927,-96.81085,"32.9939, -96.8109"
480850317082,32.994362,-96.802988,"32.9944, -96.803"
480850317083,32.991019,-96.797014,"32.991, -96.797"
480850317092,33.005392,-96.789051,"33.0054, -96.7891"
480850317093,33.000644,-96.786764,"33.0006, -96.7868"
480850317111,33.002431,-96.840485,"33.0024, -96.8405"
480850317112,33.002059,-96.833842,"33.0021, -96.8338"
480850317121,33.011834,-96.838727,"33.0118, -96.8387"
480850317122,33.009746,-96.837305,"33.0097, -96.8373"
480850317123,33.006437,-96.836139,"33.0064, -96.8361"
480850317124,33.014514,-96.837824,"33.0145, -96.8378"
480850317131,33.001894,-96.826507,"33.0019, -96.8265"
480850317132,33.005298,-96.826726,"33.0053, -96.8267"
480850317133,33.002318,-96.821276,"33.0023, -96.8213"
480850317134,33.000498,-96.823235,"33.0005, -96.8232"
480850317141,33.005649,-96.821962,"33.0056, -96.822"
480850317142,33.004945,-96.818231,"33.0049, -96.8182"
480850317143,33.009137,-96.824016,"33.0091, -96.824"
480850317144,33.009058,-96.82796,"33.0091, -96.828"
480850317151a,33.009576,-96.800205,"33.0096, -96.8002"
480850317151b,33.003053,-96.810521,"33.0031, -96.8105"
480850317152,33.008968,-96.807577,"33.009, -96.8076"
480850317161,33.001043,-96.801151,"33.001, -96.8012"
480850317162,33.003606,-96.806897,"33.0036, -96.8069"
480850317171,33.007527,-96.798152,"33.0075, -96.7982"
480850317172,33.004863,-96.800443,"33.0049, -96.8004"
480850317181,32.991969,-96.782147,"32.992, -96.7821"
480850317182,32.991938,-96.78908,"32.9919, -96.7891"
480850317191,32.995504,-96.773851,"32.9955, -96.7739"
480850317192,32.994139,-96.778038,"32.9941, -96.778"
480850317201,32.989222,-96.771312,"32.9892, -96.7713"
480850317202,32.989184,-96.773837,"32.9892, -96.7738"
480850317203,32.987459,-96.775494,"32.9875, -96.7755"
480850318043,32.995493,-96.763607,"32.9955, -96.7636"
481130001001,32.818038,-96.734174,"32.818, -96.7342"
481130001002,32.812404,-96.738514,"32.8124, -96.7385"
481130001003,32.818285,-96.744022,"32.8183, -96.744"
481130002011,32.840007,-96.757147,"32.84, -96.7571"
481130002012,32.832555,-96.7575,"32.8326, -96.7575"
481130002013,32.826321,-96.75677,"32.8263, -96.7568"
481130002021,32.825005,-96.765662,"32.825, -96.7657"
481130002022,32.836425,-96.765075,"32.8364, -96.7651"
481130002023,32.829628,-96.765614,"32.8296, -96.7656"
481130003001,32.829631,-96.772429,"32.8296, -96.7724"
481130003002,32.83306,-96.776407,"32.8331, -96.7764"
481130003003,32.826506,-96.779031,"32.8265, -96.779"
481130004011,32.811265,-96.831781,"32.8113, -96.8318"
481130004012,32.811405,-96.825941,"32.8114, -96.8259"
481130004013,32.8063523,-96.8215969,"32.8064, -96.8216"
481130004013a,32.805472,-96.818501,"32.8055, -96.8185"
481130004013b,32.80744,-96.822811,"32.8074, -96.8228"
481130004041,32.821881,-96.830076,"32.8219, -96.8301"
481130004042,32.818046,-96.830697,"32.818, -96.8307"
481130004043,32.8195362,-96.8254056,"32.8195, -96.8254"
481130004043a,32.819534,-96.823763,"32.8195, -96.8238"
481130004043b,32.819628,-96.826781,"32.8196, -96.8268"
481130004044,32.816732,-96.824063,"32.8167, -96.8241"
481130004051,32.814994,-96.819532,"32.815, -96.8195"
481130004052,32.812701,-96.821651,"32.8127, -96.8217"
481130004061,32.833428,-96.850144,"32.8334, -96.8501"
481130004062,32.830213,-96.853937,"32.8302, -96.8539"
481130004063,32.838227,-96.859525,"32.8382, -96.8595"
481130004064,32.834862,-96.855232,"32.8349, -96.8552"
481130004065,32.82287,-96.839721,"32.8229, -96.8397"
481130005001,32.812885,-96.815905,"32.8129, -96.8159"
481130005002,32.804793,-96.809196,"32.8048, -96.8092"
481130005003,32.808467,-96.815335,"32.8085, -96.8153"
481130005004,32.809149,-96.812887,"32.8091, -96.8129"
481130006011,32.832013,-96.821557,"32.832, -96.8216"
481130006012,32.82624,-96.819786,"32.8262, -96.8198"
481130006013,32.826015,-96.826921,"32.826, -96.8269"
481130006014,32.823863,-96.823944,"32.8239, -96.8239"
481130006015,32.820592,-96.820563,"32.8206, -96.8206"
