,origin,travel_time
0,480850317041,2336
1,480850317042,2292
2,480850317043,1560
3,480850317044,1746
4,480850317061,2413
5,480850317062,2969
6,480850317081,2613
7,480850317082,2087
8,480850317083,2275
9,480850317092,2730
10,480850317093,2948
11,480850317111,2575
12,480850317112,2923
13,480850317121,2972
14,480850317122,3260
15,480850317123,3339
16,480850317124,3334
17,480850317131,3115
18,480850317134,2371
19,480850317141,3417
20,480850317143,2469
21,480850317144,3186
22,480850317151a,2449
23,480850317151b,3132
24,480850317161,2489
25,480850317162,2866
26,480850317171,2279
27,480850317172,2435
28,480850317181,2940
29,480850317182,3132
30,480850317191,2891
31,480850317192,3025
32,480850317201,2592
33,480850317202,2615
34,480850317203,2528
35,481130001001,1344
36,481130001002,898
37,481130001003,1008
38,481130002011,995
39,481130002012,892
40,481130002013,845
41,481130002021,145
42,481130002022,245
43,481130002023,536
44,481130003001,729
45,481130003002,853
46,481130003003,843
47,481130004011,780
48,481130004012,512
49,481130004013a,737
50,481130004013b,437
51,481130004041,487
52,481130004042,630
53,481130004043a,676
54,481130004043b,712
55,481130004044,928
56,481130004051,619
57,481130004052,643
58,481130004061,464
59,481130004062,777
60,481130004063,709
61,481130004064,501
62,481130004065,517
63,481130005001,389
64,481130005002,596
65,481130005003,243
66,481130005004,129
67,481130006011,937
68,481130006012,979
69,481130006013,388
70,481130006014,720
71,481130006015,569
72,481130006031,948
73,481130006032,931
74,481130006033,676
75,481130006034,638
76,481130006051,461
77,481130006052,529
78,481130006061,663
79,481130006062,664
80,481130006063,813
81,481130007011,446
82,481130007012,409
83,481130007021,439
84,481130007022,353
85,481130007023,300
86,481130008001,538
87,481130008002,333
88,481130008003,264
89,481130008004,458
90,481130008005,205
91,481130009001,511
92,481130009002,534
93,481130009003,306
94,481130009004,379
95,481130010011,378
96,481130010012,768
97,481130010021,750
98,481130010022,337
99,481130011011,576
100,481130011012,341
101,481130011013,869
102,481130011021,852
103,481130011022,1027
104,481130011023,897
105,481130012021,417
106,481130012022,564
107,481130012023,796
108,481130012031,557
109,481130012032,673
110,481130012041,634
111,481130012042,336
112,481130013011,269
113,481130013012,154
114,481130013013,338
115,481130013021,793
116,481130013022,525
117,481130013023,931
118,481130014001,610
119,481130014002,732
120,481130014003,456
121,481130014004,147
122,481130015021,378
123,481130015022,284
124,481130015023,582
125,481130015024,728
126,481130015031,357
127,481130015032,421
