,origin,travel_time
0,480850317041,2632
1,480850317042,2993
2,480850317043,2636
3,480850317044,2187
4,480850317061,3114
5,480850317111,2556
6,480850317121,2361
7,480850317122,2649
8,480850317123,2728
9,480850317124,2723
10,480850317134,3072
11,480850317143,3170
12,480850317191,2006
13,480850317201,1760
14,480850317202,1970
15,480850317203,1802
16,481130001001,2417
17,481130001002,1955
18,481130001003,1757
19,481130002011,1581
20,481130002012,1610
21,481130002013,1647
22,481130002021,1342
23,481130002022,1681
24,481130002023,1481
25,481130003001,1626
26,481130003002,2017
27,481130003003,1962
28,481130004011,473
29,481130004012,900
30,481130004013a,1181
31,481130004013b,1150
32,481130004041,1370
33,481130004042,930
34,481130004043a,1657
35,481130004043b,1360
36,481130004044,1123
37,481130004051,1201
38,481130004052,881
39,481130004061,1383
40,481130004062,1095
41,481130004063,1365
42,481130004064,1425
43,481130004065,1304
44,481130005001,1248
45,481130005002,1062
46,481130005003,1117
47,481130005004,1129
48,481130006011,2543
49,481130006012,2205
50,481130006013,1931
51,481130006014,1537
52,481130006015,1507
53,481130006031,1812
54,481130006032,1984
55,481130006033,1619
56,481130006034,1661
57,481130006051,1200
58,481130006052,1345
59,481130006061,1782
60,481130006062,1314
61,481130006063,1249
62,481130007011,1303
63,481130007012,1190
64,481130007021,1506
65,481130007022,1416
66,481130007023,1363
67,481130008001,1445
68,481130008002,1273
69,481130008003,1211
70,481130008004,738
71,481130008005,1047
72,481130009001,1821
73,481130009002,1607
74,481130009003,1315
75,481130009004,1168
76,481130010011,1189
77,481130010012,1932
78,481130010021,1846
79,481130010022,1034
80,481130011011,980
81,481130011012,1318
82,481130011013,1232
83,481130011021,1641
84,481130011022,1440
85,481130011023,1120
86,481130012021,2004
87,481130012022,1721
88,481130012023,1856
89,481130012031,1560
90,481130012032,1582
91,481130012041,1704
92,481130012042,1679
93,481130013011,1287
94,481130013012,1123
95,481130013013,914
96,481130013021,1040
97,481130013022,428
98,481130013023,678
99,481130014001,513
100,481130014002,647
101,481130014003,727
102,481130014004,636
103,481130015021,1023
104,481130015022,625
105,481130015023,1012
106,481130015024,1042
107,481130015031,999
108,481130015032,870
109,481130015033,832
110,481130015041,754
111,481130015042,1013
112,481130015043,494
113,481130015044,524
114,481130016001,1067
115,481130016002,889
116,481130017011,1280
117,481130017031,1246
118,481130017032,1062
119,481130017033,1324
120,481130017041,1422
121,481130017042,1332
122,481130018001,1424
123,481130018002,1447
124,481130019001,1364
125,481130019002,1391
126,481130020001,1219
127,481130020002,1129
128,481130020003,1071
129,481130020004,885
130,481130020005,1174
131,481130021001,703
132,481130021002,1164
133,481130022001,998
134,481130022002,893
135,481130024001,1138
136,481130024002,1463
137,481130024003,1529
138,481130025001,1523
139,481130025002,1618
140,481130025003,2058
141,481130025004,1171
142,481130027011,1316
143,481130027012,1533
144,481130027013,1797
145,481130027014,1994
146,481130027021,2103
147,481130027022,1604
148,481130031011,920
149,481130031012,944
150,481130034001,769
151,481130034002,764
152,481130037001,1443
153,481130037002,950
154,481130037003,939
155,481130037004,696
156,481130038001,467
157,481130038002,920
158,481130038003,791
159,481130039011,942
160,481130039012,983
161,481130039021,1441
162,481130039022,1051
163,481130040001,627
164,481130040002,547
165,481130041001,1651
