,year,depart_time,origin,destination,travel_time
0,2018,8:00:00,4.8113E+11,4.8113E+11,212
1,2018,8:00:00,4.8113E+11,4.8113E+11,1310
2,2018,8:00:00,4.8113E+11,4.8113E+11,1354
15,2018,8:00:00,4.8113E+11,4.8113E+11,1543
16,2018,8:00:00,4.8113E+11,4.8113E+11,1535
17,2018,8:00:00,4.8113E+11,4.8113E+11,1712
21,2018,8:00:00,4.8113E+11,4.8113E+11,1681
22,2018,8:00:00,4.8113E+11,4.8113E+11,1750
23,2018,8:00:00,4.8113E+11,4.8113E+11,1302
24,2018,8:00:00,4.8113E+11,4.8113E+11,1362
25,2018,8:00:00,4.8113E+11,4.8113E+11,1623
26,2018,8:00:00,4.8113E+11,4.8113E+11,1631
49,2018,8:00:00,4.8113E+11,4.8113E+11,1497
53,2018,8:00:00,4.8113E+11,4.8113E+11,1622
56,2018,8:00:00,4.8113E+11,4.8113E+11,1660
60,2018,8:00:00,4.8113E+11,4.8113E+11,1658
61,2018,8:00:00,4.8113E+11,4.8113E+11,1763
83,2018,8:00:00,4.8113E+11,4.8113E+11,1312
84,2018,8:00:00,4.8113E+11,4.8113E+11,60
85,2018,8:00:00,4.8113E+11,4.8113E+11,743
86,2018,8:00:00,4.8113E+11,4.8113E+11,1671
87,2018,8:00:00,4.8113E+11,4.8113E+11,1737
88,2018,8:00:00,4.8113E+11,4.8113E+11,1549
90,2018,8:00:00,4.8113E+11,4.8113E+11,1459
110,2018,8:00:00,4.8113E+11,4.8113E+11,1459
111,2018,8:00:00,4.8113E+11,4.8113E+11,1464
113,2018,8:00:00,4.8113E+11,4.8113E+11,1785
114,2018,8:00:00,4.8113E+11,4.8113E+11,1641
115,2018,8:00:00,4.8113E+11,4.8113E+11,1779
118,2018,8:00:00,4.8113E+11,4.8113E+11,1306
120,2018,8:00:00,4.8113E+11,4.8113E+11,1352
122,2018,8:00:00,4.8113E+11,4.8113E+11,1433
124,2018,8:00:00,4.8113E+11,4.8113E+11,794
125,2018,8:00:00,4.8113E+11,4.8113E+11,863
126,2018,8:00:00,4.8113E+11,4.8113E+11,1100
127,2018,8:00:00,4.8113E+11,4.8113E+11,1350
128,2018,8:00:00,4.8113E+11,4.8113E+11,1600
129,2018,8:00:00,4.8113E+11,4.8113E+11,1084
130,2018,8:00:00,4.8113E+11,4.8113E+11,1768
131,2018,8:00:00,4.8113E+11,4.8113E+11,1598
132,2018,8:00:00,4.8113E+11,4.8113E+11,1321
133,2018,8:00:00,4.8113E+11,4.8113E+11,1596
134,2018,8:00:00,4.8113E+11,4.8113E+11,1324
135,2018,8:00:00,4.8113E+11,4.8113E+11,1524
136,2018,8:00:00,4.8113E+11,4.8113E+11,1623
137,2018,8:00:00,4.8113E+11,4.8113E+11,1409
145,2018,8:00:00,4.8113E+11,4.8113E+11,1361
149,2018,8:00:00,4.8113E+11,4.8113E+11,1601
150,2018,8:00:00,4.8113E+11,4.8113E+11,1766
151,2018,8:00:00,4.8113E+11,4.8113E+11,1760
152,2018,8:00:00,4.8113E+11,4.8113E+11,1511
153,2018,8:00:00,4.8113E+11,4.8113E+11,1494
156,2018,8:00:00,4.8113E+11,4.8113E+11,1688
159,2018,8:00:00,4.8113E+11,4.8113E+11,1697
166,2018,8:00:00,4.8113E+11,4.8113E+11,1800
168,2018,8:00:00,4.8113E+11,4.8113E+11,1597
169,2018,8:00:00,4.8113E+11,4.8113E+11,1466
171,2018,8:00:00,4.8113E+11,4.8113E+11,1113
174,2018,8:00:00,4.8113E+11,4.8113E+11,1337
175,2018,8:00:00,4.8113E+11,4.8113E+11,1111
179,2018,8:00:00,4.8113E+11,4.8113E+11,1216
196,2018,8:00:00,4.8113E+11,4.8113E+11,1777
272,2018,8:00:00,4.8113E+11,4.8113E+11,1368
273,2018,8:00:00,4.8113E+11,4.8113E+11,743
274,2018,8:00:00,4.8113E+11,4.8113E+11,66
275,2018,8:00:00,4.8113E+11,4.8113E+11,1461
276,2018,8:00:00,4.8113E+11,4.8113E+11,1527
277,2018,8:00:00,4.8113E+11,4.8113E+11,1718
279,2018,8:00:00,4.8113E+11,4.8113E+11,1249
321,2018,8:00:00,4.8113E+11,4.8113E+11,1173
322,2018,8:00:00,4.8113E+11,4.8113E+11,1230
324,2018,8:00:00,4.8113E+11,4.8113E+11,1191
325,2018,8:00:00,4.8113E+11,4.8113E+11,1491
326,2018,8:00:00,4.8113E+11,4.8113E+11,1560
327,2018,8:00:00,4.8113E+11,4.8113E+11,1797
328,2018,8:00:00,4.8113E+11,4.8113E+11,1512
329,2018,8:00:00,4.8113E+11,4.8113E+11,1687
330,2018,8:00:00,4.8113E+11,4.8113E+11,1781
331,2018,8:00:00,4.8113E+11,4.8113E+11,1337
332,2018,8:00:00,4.8113E+11,4.8113E+11,1589
333,2018,8:00:00,4.8113E+11,4.8113E+11,1440
334,2018,8:00:00,4.8113E+11,4.8113E+11,1097
335,2018,8:00:00,4.8113E+11,4.8113E+11,1202
336,2018,8:00:00,4.8113E+11,4.8113E+11,1515
337,2018,8:00:00,4.8113E+11,4.8113E+11,1501
338,2018,8:00:00,4.8113E+11,4.8113E+11,1400
339,2018,8:00:00,4.8113E+11,4.8113E+11,1386
340,2018,8:00:00,4.8113E+11,4.8113E+11,1681
341,2018,8:00:00,4.8113E+11,4.8113E+11,1592
342,2018,8:00:00,4.8113E+11,4.8113E+11,1757
343,2018,8:00:00,4.8113E+11,4.8113E+11,1638
344,2018,8:00:00,4.8113E+11,4.8113E+11,1389
345,2018,8:00:00,4.8113E+11,4.8113E+11,1372
349,2018,8:00:00,4.8113E+11,4.8113E+11,1784
351,2018,8:00:00,4.8113E+11,4.8113E+11,1688
354,2018,8:00:00,4.8113E+11,4.8113E+11,1791
356,2018,8:00:00,4.8113E+11,4.8113E+11,1494
358,2018,8:00:00,4.8113E+11,4.8113E+11,1590
360,2018,8:00:00,4.8113E+11,4.8113E+11,899
361,2018,8:00:00,4.8113E+11,4.8113E+11,1292
371,2018,8:00:00,4.8113E+11,4.8113E+11,1631
381,2018,8:00:00,4.8113E+11,4.8113E+11,1215
382,2018,8:00:00,4.8113E+11,4.8113E+11,1668
412,2018,8:00:00,4.8113E+11,4.8113E+11,1542
413,2018,8:00:00,4.8113E+11,4.8113E+11,186
414,2018,8:00:00,4.8113E+11,4.8113E+11,699
415,2018,8:00:00,4.8113E+11,4.8113E+11,964
416,2018,8:00:00,4.8113E+11,4.8113E+11,949
417,2018,8:00:00,4.8113E+11,4.8113E+11,838
418,2018,8:00:00,4.8113E+11,4.8113E+11,863
419,2018,8:00:00,4.8113E+11,4.8113E+11,1316
420,2018,8:00:00,4.8113E+11,4.8113E+11,1748
421,2018,8:00:00,4.8113E+11,4.8113E+11,1041
422,2018,8:00:00,4.8113E+11,4.8113E+11,1604
437,2018,8:00:00,4.8113E+11,4.8113E+11,1646
443,2018,8:00:00,4.8113E+11,4.8113E+11,1581
444,2018,8:00:00,4.8113E+11,4.8113E+11,1781
448,2018,8:00:00,4.8113E+11,4.8113E+11,1392
449,2018,8:00:00,4.8113E+11,4.8113E+11,1750
450,2018,8:00:00,4.8113E+11,4.8113E+11,1779
451,2018,8:00:00,4.8113E+11,4.8113E+11,1678
452,2018,8:00:00,4.8113E+11,4.8113E+11,1333
453,2018,8:00:00,4.8113E+11,4.8113E+11,1064
454,2018,8:00:00,4.8113E+11,4.8113E+11,1221
465,2018,8:00:00,4.8113E+11,4.8113E+11,1092
466,2018,8:00:00,4.8113E+11,4.8113E+11,1057
467,2018,8:00:00,4.8113E+11,4.8113E+11,1587
468,2018,8:00:00,4.8113E+11,4.8113E+11,1069
472,2018,8:00:00,4.8113E+11,4.8113E+11,1770
474,2018,8:00:00,4.8113E+11,4.8113E+11,1420
475,2018,8:00:00,4.8113E+11,4.8113E+11,1177
476,2018,8:00:00,4.8113E+11,4.8113E+11,1233
477,2018,8:00:00,4.8113E+11,4.8113E+11,1180
478,2018,8:00:00,4.8113E+11,4.8113E+11,1285
479,2018,8:00:00,4.8113E+11,4.8113E+11,1422
480,2018,8:00:00,4.8113E+11,4.8113E+11,1584
481,2018,8:00:00,4.8113E+11,4.8113E+11,1214
482,2018,8:00:00,4.8113E+11,4.8113E+11,1243
483,2018,8:00:00,4.8113E+11,4.8113E+11,1764
484,2018,8:00:00,4.8113E+11,4.8113E+11,1083
485,2018,8:00:00,4.8113E+11,4.8113E+11,1422
486,2018,8:00:00,4.8113E+11,4.8113E+11,1721
487,2018,8:00:00,4.8113E+11,4.8113E+11,1472
